"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"O94766",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4276331354457,16.3102128340715,16.0542396938949,16.6044029846349,16.454789820947,16.9956987362079,16.3196255097188,19.4799264910094,16.0936175800714,16.430138343741,15.3762094473649,17.6708120793522,16.1066831376612,17.6062027112542,NA,NA,16.7868441900359,16.0418868112907,-3.90694857814839e-19,0.999999999157218,1,-4.65627921339417e-20,0.999999999910162,1
"Q96I51",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5022401466015,17.0942158010637,16.838461844425,NA,NA,17.4523709258732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q8N6L1",1,2,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,19.4823305894866,19.2371776783811,19.0613042638616,18.9141137098037,18.4402217697518,19.1625813627725,18.1534429463229,17.8214967433523,18.1617752628343,17.7564750473975,18.8695108332562,18.770187941276,19.2907487917817,19.1791273416425,18.8993727243504,18.8807746832449,19.2115501503707,19.0124916136274,-1.49583395181372,4.29264839142518e-08,1.26830642043581e-07,-0.111583335423194,0.529887368486111,0.640614084458788
"P62266",6,2,7,2,2,2,6,6,4,3,6,6,NA,2,3,2,NA,2,18.1588677762768,16.6239388210262,18.5213096577293,16.804927895479,16.4628430176824,17.1074593327779,19.0550865726264,19.549518246785,18.5610295936456,18.6801255741806,19.1606094369836,19.4529290395996,16.747193701399,17.0647904311458,16.7460804075326,17.4595983020521,16.4259194534167,16.732843834695,1.1487496964967,2.19334282369744e-05,4.54133234691611e-05,-0.608675139670435,0.0187959156231362,0.0371126590552221
"Q96AA3",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2226549223087,17.9517124748926,16.9287815138099,17.7817963958078,17.6933384631939,17.5922659153489,NA,NA,NA,NA,15.9905941986682,16.2635377871819,17.0694574502061,17.4436902054359,16.5745500765353,17.7067433785105,17.2497175384434,17.0409032712311,-1.99742958914216,1.7799796794529e-06,4.34264545909076e-06,-0.548502707842264,0.0130403075292142,0.0271244125589196
"P52597",2,1,4,1,1,1,6,5,5,5,6,4,2,4,3,1,3,2,19.1174096249071,16.8687625337077,18.6219024184077,16.7257959149369,16.6656032901235,17.5198140142637,19.7234604213523,19.296258190868,19.1503911986793,19.5398055628447,19.036088200103,19.3491964247962,18.5450735401567,18.4771445361653,18.508488149959,19.2039919285282,18.4692557636523,18.1905976245762,1.03282224957599,0.000158263389855828,0.00029428435735354,0.676866995561012,0.0100011111426246,0.0214974645062146
"Q8IZA0",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1663784134799,17.2304806048242,16.0878441024815,16.3294152569762,16.8747564296047,16.1712693833006,NA,15.352527097251,NA,NA,NA,NA,16.1690154696888,16.384633332663,16.1209739814621,17.0586461706233,16.2966150791186,NA,-1.44925954355965,0.000179282678382244,0.00033199843736797,-0.191415532237005,0.293515559591331,0.386153895111663
"O00425",5,NA,6,NA,NA,2,8,5,6,7,7,8,4,4,2,4,5,3,17.4744885249405,15.5930198677897,17.5252094654995,15.5313013588502,15.5568740962774,16.0607936832924,18.3473183156809,17.8591715077651,17.7227395360195,18.0189967806793,17.8365259858308,18.1744821251087,17.0770360582116,17.0364973600174,16.9392128243134,18.0312964401501,17.0414127891292,16.8236651771366,0.850846427801815,0.00102399725542192,0.00169005167310211,0.518973861257993,0.0410294496626386,0.0716448790109057
"Q9NPJ3",2,4,3,4,3,3,2,2,1,3,2,3,3,2,3,3,2,2,18.2779796059956,19.1376038877704,17.8352587136331,19.1567681395544,18.9269514113991,18.4933016899928,18.3439876921265,17.9203840734318,17.4572049665066,18.1005979366376,17.9356291096447,18.0313896623015,18.4062268460012,18.0780663698186,17.7060571221753,18.7274317653753,18.2088649696678,18.0773372407704,-1.29256982129719,7.96467497908989e-07,2.04031248400516e-06,-0.639625452476359,0.00623233631791744,0.0144998444760851
"Q5T4S7",4,NA,NA,NA,NA,NA,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,16.12589837723,NA,16.2220740425504,14.9220474505543,14.8039411082297,14.0763306664232,16.1664118220893,16.1780970297288,16.1774878254177,16.4239165936894,15.7332100269223,16.6420299072683,15.8492247572533,15.4595438192327,15.7048807244663,16.4481620675356,15.630847828998,15.3046898646465,4.79147789968084e-20,0.99999999964057,1,4.15679983010512e-20,0.999999999701843,1
"P21695",NA,NA,NA,NA,NA,NA,5,4,5,6,3,4,NA,2,NA,NA,1,NA,15.9013521893175,NA,16.0456790423092,15.8012108781224,14.626786617292,15.8561738973875,17.6376980107054,17.4549632807441,17.5186458066593,17.6480073905019,17.0486616373863,17.6648779546413,16.6096301755595,16.5061908321749,15.2653901344573,17.1832252171236,16.6404169513559,16.4011634578558,1.00722754788987,1.00511672702524e-10,4.41664430415469e-10,0.476722693729322,0.000592676809703896,0.00188979683944097
"Q6UXV4",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7945983675169,16.1622747112023,15.1413476613194,15.8423612715559,15.0084956893521,14.6137854946343,NA,NA,14.5005678295336,NA,15.2281044514022,15.1199824327665,15.7927149063167,16.0790107654347,NA,16.8442982065375,16.1549594795081,15.6862298917528,-0.997342472315627,0.000503568184902535,0.000873477254049649,0.399970914136035,0.0525554181207396,0.0890512060041607
"P30876",NA,NA,5,NA,NA,NA,3,1,2,1,2,3,NA,NA,NA,NA,NA,NA,16.5096736586002,NA,16.2082126189528,NA,NA,15.0700758906418,16.8105875423255,16.235695307671,16.6770169875402,16.5485813843208,16.996102198551,17.1280106520409,15.5466873027898,15.6281645702372,NA,16.37718610336,NA,14.574436063591,0.229352805688144,0.602034520973575,0.687858524567968,-0.455767001643279,0.35116960531139,0.449205233006205
"Q16401",NA,NA,NA,NA,NA,NA,2,2,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1791648181428,17.1045312856974,17.5514389526741,17.4749309880056,16.5056761399302,17.3635175003704,16.3193139534819,16.5035994830944,15.509552822202,17.0954340943199,16.2784750634905,16.4913794174818,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5531290597191,NA,NA,NA,NA,NA,17.6281462997083,17.5507064849284,17.0734340507369,17.5163996134989,17.4905012014991,17.7396402554479,16.1527147687994,16.2012743435045,16.0654900710335,NA,16.2797804118795,16.082638520985,1.57692436956823,1.2007671337643e-06,2.99012125967367e-06,0.739963618437258,0.00260677206193424,0.00694657016726317
"Q9UJ70",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,17.6493462767383,17.451113355824,17.5416003393551,NA,17.2661642729731,16.9108553198323,17.0980362246387,16.815288960156,17.0818962586762,17.4397991869707,16.7772441534497,17.3974307582578,16.6953472928851,16.8451601195151,16.5235311239009,17.5952068098332,17.023442412024,16.1888455047111,-0.655302562238208,0.00261550420587894,0.00407910241435006,-0.60333342327379,0.00548651955681734,0.0130685847776969
"Q4VC31",NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6937924948336,18.6284042469065,17.0582671459087,19.1018288509389,18.7098720253884,18.1761770640086,18.309571205999,18.1050064340713,17.7211078836375,17.6002803909257,18.245213362807,18.5499690980483,17.6740055013083,17.9414167012292,17.6226722601155,18.4732816991536,17.9002320911107,17.5940606982609,-0.456737139129463,0.047653532226682,0.064034433929604,-0.0502024978012038,0.848811734452437,0.953225900103041
"P45877",NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2247758058361,17.3727863080672,17.162369227188,17.1424976418618,17.1986901604538,17.0801990561139,17.3268444385427,17.1060160364822,16.6199115282766,17.127554716148,17.1498918974092,17.6338935592223,16.8501598887402,17.1082606014461,16.6135987313367,17.7083027285477,17.368498036742,16.6249120468843,-0.625259390161056,8.79658235894082e-05,0.000167979146077157,-0.35556765888717,0.0116327863213824,0.0245217910075849
"Q9UI10",1,NA,NA,NA,NA,NA,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,16.3783434709136,NA,16.7472263770004,NA,15.2084763555851,15.2803598309914,17.3238647680108,16.6915511872713,16.9604506687035,16.9955759244912,17.0635663870691,17.2786522709741,15.9792497924946,15.8354809987147,15.8356780804082,16.4679826403425,NA,16.6007663895352,0.319939340689735,0.11729236180869,0.149756101397309,-0.0151895282465908,0.943327800253966,1
"O75844",6,8,4,6,6,5,1,1,1,1,2,1,3,2,2,2,3,4,17.6292539157036,18.2603071247542,17.4386309076927,17.7542191706277,17.6179241511155,17.3891200764923,16.5914784888499,15.924327056767,16.1452962131851,16.3968425547826,17.2116100243559,16.8259189855243,17.1738350008741,17.0275643923087,16.9551540377676,17.6469391067944,17.4377464653986,16.9140584015686,-1.75118661502052,5.05829718771915e-13,2.83264642512273e-12,-0.704044321050723,0.000244585259710872,0.000871289626952231
"Q15363",3,3,1,2,2,2,1,1,1,1,1,1,2,2,3,1,1,2,19.1665721155277,19.3603278616573,18.7779552638751,18.8963618927958,18.9124084338892,18.3446440720292,17.5487476337396,17.4604647909457,17.1073682405462,17.3945642077755,18.2231808238745,18.1778171378173,18.5450397156832,18.3924511288601,18.5855304081048,18.9049058566075,18.5804249210686,18.3746119909858,-1.74056763680314,1.94398493236656e-10,8.29985056230263e-10,-0.483704879389374,0.0106083289969938,0.0225603170254934
"O95832",1,2,1,1,2,2,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,17.9890001912789,18.3261676010549,17.5373802465611,18.1851347366801,17.8874466183831,17.51079009931,NA,15.6701547231188,17.4088702051102,NA,16.143786415916,17.2366382249683,17.5101161465256,17.163209550435,17.348478364639,18.0639710896898,17.5162020974345,17.3999864718996,-1.58034985571684,2.1535163541866e-07,5.8928038419106e-07,-0.420079314193507,0.0744641700766746,0.119831415786927
"Q13084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.4894341344488,NA,14.437042035568,NA,13.6923517101895,16.4332551922072,16.268168324189,NA,15.4045865528862,16.4010190183832,16.2356653717028,NA,NA,NA,NA,NA,NA,1.17535951622886,7.25176718606127e-05,0.000140484757715491,NA,NA,NA
"Q13242",3,NA,NA,2,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,18.7629677626053,17.0776513925874,18.5462136820883,17.5811285036773,17.088194858189,18.4186739034892,19.2484572675616,18.9876878722949,18.8982099295346,19.1757042954936,19.2348137773734,19.3917521770713,18.8214829207197,19.0038608916967,19.0358640865803,20.0688846330044,19.0963326772024,19.0391869382272,0.420372561766516,0.0391258022815499,0.05319871930772,0.834371166672533,0.000274199380555121,0.000965326558229979
"P13051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4319383492528,16.0543842279746,NA,15.4196492213821,17.0793711495782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q00765",NA,2,NA,3,NA,NA,1,2,NA,2,1,2,1,NA,1,1,2,2,15.1677528516415,16.54177517606,15.9319785227115,16.4153092927386,15.7921588792871,15.6934889150745,16.1602427604101,16.6136588268425,15.3565272355534,16.2443140643306,15.7308483207722,16.7389074634268,16.0713615859722,15.9281533522462,15.5391804675618,16.5108788004889,15.6277407336006,16.2681078826634,-2.37116122318867e-19,0.999999999079497,1,-7.47983348022166e-20,0.999999999709627,1
"P08240",1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,15.8041043612858,NA,15.7269988680341,NA,NA,NA,16.2306262890857,16.1681709815235,16.1956405222866,15.8569138916069,16.6645809836288,16.3367395214534,15.3406781141719,15.7536659827811,15.6884283281209,16.0423546352042,15.4826352337879,NA,6.30578556606542e-20,0.999999999758358,1,-1.02145448262254e-19,0.999999999599361,1
"P49591",2,NA,3,NA,NA,NA,7,4,5,3,3,4,NA,NA,NA,NA,NA,NA,16.8941850260265,NA,17.0346384082164,NA,NA,NA,17.6777475088348,16.7561055507937,16.3269661254123,17.1076232704987,17.2571736668303,17.3169936138638,16.5613819029603,16.337929893871,16.2225746763769,NA,16.7597995277555,15.8337996738635,-0.136993782111946,0.387540406018457,0.456554450925853,-0.319539622011786,0.0689984097648465,0.112620789833716
"P06899,P23527,P33778,Q16778,Q6DN03,Q6DRA6,Q8N257",2,2,2,2,2,NA,2,1,3,1,2,1,2,3,3,2,3,NA,22.0700798651559,22.2705414854754,21.6247102562544,21.8711621693816,21.8104853665835,21.9289184532559,18.052599848135,18.3220150810897,NA,19.4467539911835,22.0721335039406,NA,21.6768951526733,21.6574836320698,21.5112330350108,22.8679624896842,22.0262733122232,21.5153312709197,-2.84935592247315,5.93167267470718e-07,1.53916678886798e-06,-0.266918113725188,0.37247868030032,0.472685682558704
"Q9NPE3",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0725967014433,NA,13.6421330057747,NA,NA,14.3937996005934,NA,11.5701562594374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P61604",7,8,10,8,8,8,6,6,6,7,5,7,7,5,6,5,6,5,17.8564957586419,18.9579789602926,17.5411995902305,19.0358970159837,18.9535247539435,18.3461180922538,17.2947608840665,17.1881884164126,17.1145766883074,16.948967355931,16.9263117872387,17.3395924549537,17.9125231729526,17.5769165041519,17.4179963587142,18.6245216430915,17.8504426788656,17.5398758471545,-2.03254300403827,8.00231552580816e-28,2.07199739635979e-26,-0.911002201684199,8.4265545190777e-09,7.35714814556566e-08
"Q6P2I3,Q96GK7",NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,16.1235582301641,NA,NA,NA,NA,NA,17.5671923228879,17.2717204339394,16.8470166642448,17.2273230086229,16.8749690629261,17.3995786556022,15.7694156838524,NA,16.1875653860113,15.7043894179643,16.2441171589225,15.8183830039478,0.594749926788794,0.0700944265872161,0.0922839689568159,0.0511365101311821,0.871229081129455,0.972487691209587
"Q96JJ7",1,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,3,3,NA,2,2,17.160888734301,17.3881838492763,17.0506680020573,17.4846045341102,17.1719992329678,17.1861066713223,16.6602868562817,15.6855091828087,16.031455851896,16.4911888082114,15.5316785102904,16.5540159089469,16.7632300101159,16.9728712694358,16.8365255479867,17.824022274016,17.1468989912192,17.0717987458252,-1.66114820722873,1.88503461304789e-13,1.1235552842127e-12,-0.360493097440946,0.00613141391065173,0.0143344934756327
"Q9UG63",NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,12.4749902213901,NA,NA,NA,13.6500203058826,13.4918109650345,12.8672496957623,NA,12.6812161437131,NA,NA,12.3243838101032,NA,NA,NA,NA,1.88740986920432e-19,0.999999999536841,1,-9.08266696120009e-20,0.999999999823795,1
"Q14240",NA,NA,NA,1,NA,NA,3,3,3,2,2,3,NA,1,1,NA,1,1,16.4899091859626,14.9593107236356,15.9979939681027,15.5077767558835,15.1922323566311,15.5940963348194,18.115798532506,17.749524050387,17.5024280973583,17.7210400585974,17.7057299259079,18.0912541662671,16.7367194849027,16.5044457718908,16.5660199655781,17.3048200111331,16.5380948085093,16.7230503897856,1.49645519644222,5.90621599013363e-12,2.94454826174778e-11,0.836729837717543,6.26865536471416e-07,3.89923355717065e-06
"Q7L5Y9",NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3204639385846,NA,NA,12.0580026203985,NA,13.6559172355861,13.6073069339974,NA,13.8850456396086,14.2995073073627,NA,NA,NA,13.2899589491372,12.7159296276719,NA,0.253976849140927,0.25778127344841,0.312399248346135,-0.163046719193686,0.535003054456684,0.645823194444695
"Q6NVY1",NA,NA,NA,NA,NA,NA,4,3,2,2,1,3,NA,NA,NA,2,NA,NA,14.2167116858948,14.4377568543749,14.1948603566043,NA,14.5821266798947,15.2824525762708,18.0637716498183,17.5951026291964,17.3512624952578,17.7535591082755,17.4989325126652,17.7054752415579,16.8213119909857,16.3963077156343,16.4452688180014,17.4486003697577,16.7038038202157,16.7514923670075,2.56468561966979,2.14232531865888e-22,3.52083067448978e-21,2.0718007079754,6.86751642336782e-19,2.14141648474106e-17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8830792612313,NA,15.5957210481781,15.1164834471969,15.6964576010128,NA,NA,NA,NA,NA,NA,NA,14.997466406971,NA,NA,NA,14.6106366044345,NA,NA,NA,-0.884668558640303,0.0041863860106836,0.0103730782369983
"A8MUH7,Q5T2W1",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5699478673283,NA,NA,NA,NA,16.9386146142422,17.1130136068257,17.1520886587257,17.3252874239584,17.1075521730108,17.3716290993728,15.6270729227988,16.1694121114542,NA,15.9630519832999,16.1249361830806,15.2276244234754,1.94942975891102,6.98878541259291e-06,1.55968445537755e-05,0.907283806824181,0.00876926159547821,0.0192988057660341
"O15347",NA,NA,1,NA,NA,1,1,NA,1,1,2,3,NA,2,1,2,3,2,16.2389788766238,NA,15.4290841400743,15.45924606053,15.4370198814293,16.1339482347343,17.1587860924332,16.2707309831721,17.3671073056783,17.1183669350966,17.9846587504468,18.2739167351144,17.2478616117964,16.8945465206419,16.6725483324687,17.72289040828,17.34635360806,16.9541949748587,0.884966280228794,0.00501873026867496,0.00756264235730245,1.02107321956001,0.00154782380646142,0.00438245867843618
"P62913",7,1,6,2,2,2,7,6,6,7,7,7,2,2,4,2,2,4,18.4825658176612,16.6504989548764,18.5168184202853,16.9648251376889,16.6088910433022,17.4817948270782,19.9892419790526,19.7225978322699,19.2468042796729,19.5083934539941,19.5202627569946,19.8858838481327,17.512775497468,17.4203232390516,17.3169125766576,18.0384093850389,17.1650621800636,17.3081398661424,1.57133888719046,5.53295492971853e-09,1.84789951050793e-08,-0.114501932992265,0.640112009968554,0.755980785014509
"Q14108",NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1336531042861,NA,NA,16.9999109252389,16.1541215338882,16.8066628969021,NA,NA,NA,NA,NA,NA,16.1667176418155,16.0490715782967,NA,16.9562615086805,NA,15.9639041290691,NA,NA,NA,-0.845997912502043,0.000150630491838663,0.00056865379073055
"P46781",6,5,8,5,6,7,8,8,6,8,8,8,5,5,5,4,5,5,19.3518425532594,17.7074319976253,19.3777338186411,18.1721311068859,17.8192894565898,18.419375657791,20.5653302856045,20.1706207286034,20.1061588238352,20.1779489993943,20.1524502471185,20.504836258052,17.981762117253,18.0458449256231,17.9689844761033,18.7546333583991,17.6598065830265,18.0705426874379,1.10005288658499,1.43826751106248e-06,3.55215196578303e-06,-0.633968814154968,0.0038650440772152,0.00966663628061842
"Q9HD45",7,6,5,7,6,6,3,NA,1,1,3,3,5,6,6,4,7,6,17.4263969495932,17.5406658935039,17.2206410806091,17.3066554444004,17.2965199239441,17.1671882983642,16.3176788321257,15.8491497108762,15.9877565104562,15.8111702667696,16.1209006257827,16.6570325250178,16.956863331146,17.0758055606394,17.209715136902,18.1189241663974,17.2606554955588,17.1377860012535,-1.84984500046731,4.06307215603732e-30,1.20788614218986e-28,-0.271860987050255,0.0118901550660989,0.0250423353628977
"Q14839",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,16.0738803370061,NA,16.0690890085435,NA,NA,NA,17.0293140779624,NA,16.831740408553,17.1075511021747,17.3883243284626,17.363070151696,15.3943808747287,NA,15.2021657712651,NA,NA,15.2601956855938,0.513332888288214,0.0125566895198302,0.0180408761120233,-0.653260544158564,0.00456085164795382,0.0111969374302016
"O75521",2,2,NA,1,2,2,8,8,7,8,6,7,5,3,4,4,4,5,16.597972951189,16.4024442963345,16.2351717762653,16.2914848826766,15.8873588110277,16.0074501270814,18.4930264637294,18.1323319763706,17.9136578035811,18.2886596310146,17.968433805505,18.2088869693117,17.498703177372,17.0949955944226,16.3329844404338,17.8482759914698,16.9319716103521,16.8810222143217,1.26625958107986,4.80636462628682e-23,8.38675798557874e-22,0.675046191225635,1.43020689167897e-09,1.40734702742672e-08
"P52815",2,3,2,3,3,2,4,5,3,4,3,3,3,3,2,3,2,2,19.0710612864444,19.5908541028773,18.6424275443307,19.5226709005398,19.3696955313817,19.0490128429882,19.1760022041565,18.9678382090703,18.7810897129926,19.1105317871073,19.0024394795889,19.2392974152405,18.9904380150349,18.5628148193748,18.5994991167234,18.9374430255437,18.8639665550426,18.6784165220051,-0.709642451952101,0.000173313117675255,0.00032177177128914,-0.553977341260197,0.00252118752055965,0.00674094792523799
"P06753",NA,1,NA,2,2,NA,2,2,2,2,3,2,2,3,3,3,2,3,17.5933732021061,16.8297626234011,16.942144706628,17.4065645875838,17.2443747061257,17.2835753574922,19.6268200477203,19.3288519604712,19.2762931044967,19.4650054886844,19.09804682569,19.5467951867612,18.7128094138128,18.5889234502107,18.5269557103108,19.4565297671014,18.8322171537045,18.8318353176635,1.39899988800607,1.37170750712448e-17,1.31074272903006e-16,1.28416025792489,3.16887489867126e-16,7.45928297226441e-15
"P30085",2,NA,3,NA,NA,1,2,2,3,2,3,2,2,2,2,2,2,2,17.6720214916132,14.5240098574987,17.684401451143,16.1089501052181,15.6906710553545,16.5508664723225,18.5086322030945,18.235476473902,18.3900221842125,17.831515684779,17.8155590543917,18.2456723730495,17.286151335426,17.2550783704109,17.3505255796825,18.3858055262485,16.3107020205109,17.114066463148,0.884867956381052,0.0113232890070133,0.0163762642215544,0.577417956092135,0.0860314543111209,0.13553905629987
"O75323",NA,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17.0994551166697,17.2042378115286,NA,16.4401865773625,17.2129926745482,15.1209007644666,16.6860527271376,16.5115548472251,16.1441495316133,15.8454687158024,16.2422085489142,15.5625537183234,16.8251053686957,16.2066748567457,NA,16.8519160881657,16.1891022704115,16.0873005452765,-1.03926800350366,0.000197530542847326,0.000363094310821649,-0.571003686883777,0.0229695763205396,0.0439792286647653
"Q8N4Q1",1,1,1,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,16.3751973181312,17.0313725081751,16.1692370812222,16.9265092714499,16.8049094677529,16.6906116713714,16.5084180459053,16.9483051500721,16.2732544038054,16.70977445241,16.6920915062259,16.8068907606132,15.7450033224323,15.9883432093448,15.668156736535,16.5359174874556,15.7102223877301,15.4192648110954,-0.605110224593219,0.00348664315931307,0.00535790474002927,-1.00320656578319,1.81259360887766e-05,8.5334063821868e-05
"O43818",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,2,NA,2,1,15.4487783258513,NA,NA,NA,15.2421752193396,NA,16.379775364962,16.1471181354981,NA,NA,16.8585033956896,17.2276335996179,16.1897590940844,16.2370959533701,15.6971552880207,16.520627352171,16.4846668998448,16.4273456466803,0.498637436805974,0.104446691039626,0.134712175695457,0.574350914909967,0.0612602349701547,0.101438499422994
"P35659",4,NA,3,3,2,4,7,4,6,8,10,10,7,5,10,5,6,6,17.3689760379113,15.8909550602029,17.3789165635569,16.1032236390799,16.4200100622065,16.7552612980759,17.7647923604041,17.480374826589,17.9718488004974,17.6207149993756,18.6441872885693,18.7381673479976,17.8889640664127,17.759986725058,17.5404225238567,18.5747684706979,17.613161914268,17.8828921845637,0.621229680874508,0.0114471756116458,0.0165256587966684,0.812272250963044,0.00111219686301927,0.00326452893411892
"Q10567",NA,NA,NA,NA,2,2,5,4,3,4,5,3,3,3,3,2,3,3,17.1639620254845,15.7230491159784,17.1926280071232,16.9116856475982,16.5615996357031,16.7922561652759,18.7907017329817,18.455940385957,18.0393957978404,18.5177754234196,18.1801388915619,18.5762980245274,17.7893802600261,17.4776755252686,17.897879346245,18.1587477394042,17.8556640224713,17.7127035861039,0.873155072213017,3.90382585916152e-12,1.99584133096835e-11,0.683251577617743,1.69955386823681e-08,1.40227795107786e-07
"P62847",2,1,2,1,1,2,4,4,3,4,4,4,1,1,1,1,1,1,18.8824899941738,17.6946955076995,18.8497622407485,17.5163724635546,17.6079253654308,17.4761902251963,20.7087792827656,20.6760334648396,19.8591381876447,20.3055435814019,20.2245711871258,20.5122996761829,17.3160281501478,17.13656914656,16.8361857763991,17.6960267090275,17.1000054667393,16.8482174562903,1.6678672148768,6.49050448337669e-10,2.51676888824011e-09,-0.99454478596267,2.91775340267001e-05,0.000133438588948775
"P17096",2,NA,2,1,1,1,NA,NA,NA,NA,2,2,2,2,2,2,2,1,17.174090593962,15.8654666248825,16.4400309140215,15.7153890662484,15.6976606524433,16.2927627495212,15.0350833012137,15.063294128306,16.6080818381334,15.497939474659,18.296172710674,18.2464387178412,17.2581035409583,17.2756260470797,16.9335011700358,17.6064035641017,17.2195320235359,17.2102747950618,-0.23231706434325,0.598231744683556,0.68466827053137,0.49648840868347,0.254417360586445,0.34106983962482
"Q86UE4",2,3,2,2,2,3,1,NA,NA,1,5,4,3,1,2,3,1,3,17.5096526714649,17.8818976648073,16.5659860663081,17.3000393059864,17.2936360441053,16.896356082545,17.2915151338106,16.47260752719,15.9058755381453,16.1216976538213,17.3264467875559,17.2845123574576,17.2699812050169,16.8513073378199,17.033966207545,17.8882288600496,17.2300677364656,17.3264075384341,-0.861439280676761,2.04564269729129e-05,4.26855079296137e-05,-0.262378641328094,0.185176915805313,0.260768196392115
"P62888",3,3,3,3,2,3,5,6,4,4,5,5,3,3,3,3,4,3,17.8848315642866,17.3460267242529,17.9001613562694,17.4828646970999,17.3207468303547,17.2952936511025,20.157120778423,19.6974218688053,19.211919039905,19.6708616130127,19.6382478308703,20.0691230202665,17.1129730761024,17.2732590721446,17.0471303267826,18.0115301775713,16.8864461946341,16.9091138960514,1.54870144416291,8.49799092308793e-24,1.61127260966896e-22,-0.572010158401023,7.65656371824095e-07,4.72581220758265e-06
