"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|P04228|HA2D_MOUSE;sp|P14435|HA2F_MOUSE;sp|P14437|HA2S_MOUSE;sp|P14436|HA2R_MOUSE;sp|P23150|HA2J_MOUSE;sp|P04227|HA2Q_MOUSE;sp|P14438|HA2U_MOUSE;sp|P14434|HA2B_MOUSE;sp|P01910|HA2K_MOUSE",4,4,4,5,4,5,0.00170154028857276,0.121084795720364,27.1250636666318,27.0623399606568,27.2398115446129,28.1880289909877,28.1095606739071,28.8275691626207
"sp|P04441|HG2A_MOUSE",4,3,4,3,4,4,0.017492179654578,0.214673466726595,25.7417503746549,25.6867963731141,25.7552926879693,26.1431069852955,26.6765242181095,26.2473347663767
"sp|P04919|B3AT_MOUSE",10,11,10,9,11,9,0.184250142581351,0.518229520668991,25.6819048270942,25.7541719051937,26.1354565976426,25.8996483502907,26.4360501203696,26.2306731128927
"sp|P05064|ALDOA_MOUSE;sp|P05063|ALDOC_MOUSE",19,19,18,18,19,18,0.354419260050958,0.673443928320774,29.1318428887082,28.7867984100248,28.7915800104768,28.7419327874864,28.7051137659036,28.7450097589507
"sp|P05201|AATC_MOUSE",8,8,7,8,8,8,0.120784585897995,0.45171180849826,26.3232401657224,26.2151390475971,25.9891650833149,25.959747461721,25.8334117455337,25.8203580238562
"sp|P05202|AATM_MOUSE",12,9,9,11,11,12,0.837091688332745,0.938972598751574,28.2680442653286,27.2793292074335,26.6719523182045,27.576858439917,27.2862628208264,27.6175809588901
"sp|P05555|ITAM_MOUSE",8,7,8,7,7,8,0.907950238162802,0.970245280232291,25.9697228632162,25.6271922501685,25.8598514705109,25.7659510790012,25.5897089379364,26.1796415416121
"sp|P06151|LDHA_MOUSE;sp|P00342|LDHC_MOUSE",17,15,15,15,16,15,0.954918245558973,0.989050817927249,29.4903179399421,29.6540524962596,29.1589530908388,29.3339260835371,29.484231328394,29.4515684865704
"sp|P06240|LCK_MOUSE;sp|P05480|SRC_MOUSE;sp|P39688|FYN_MOUSE;sp|Q04736|YES_MOUSE",6,6,5,5,5,3,0.0665468512342104,0.368876016174299,24.7312699651107,24.5242814062896,24.6017346595891,24.3784043561491,24.1569009072977,23.2905276479174
"sp|P06745|G6PI_MOUSE;CON__Q3ZBD7",14,13,12,13,13,14,0.893123317777005,0.964325523353681,28.3810799406955,27.999100764353,27.5519841208166,28.1536025624067,27.7367733604102,27.9331593767802
"sp|P06800|PTPRC_MOUSE",20,19,20,20,18,20,0.463373991328937,0.749823367786825,28.0664935210499,27.919925297085,28.0780733891346,27.9176600749952,27.7623181760494,28.0045706428986
"sp|P07356|ANXA2_MOUSE",12,12,13,12,13,13,0.969947374782507,0.993908696418661,27.328584055539,27.0364178464168,27.578375990526,27.1205265523999,27.3240126190419,27.4742622905037
"sp|P07724|ALBU_MOUSE",14,11,12,12,10,10,0.101225025723102,0.426623181733441,26.8011927856946,27.1103635183476,26.3691320059628,26.792094813971,25.7978690391068,25.3389738741245
"sp|P07901|HS90A_MOUSE",17,17,16,15,15,16,0.01556881292388,0.208588611861876,28.4618397668794,28.7591167970999,28.3391744968945,29.2679966552937,28.9712686352413,29.2012164472059
"sp|P08003|PDIA4_MOUSE",12,10,10,12,13,11,0.115966383206091,0.446929649819721,26.3495825821736,26.0133525896837,26.3562567125532,26.4779497995557,26.8499721190682,26.4759165285192
"sp|P08030|APT_MOUSE",3,3,3,3,3,3,0.485620477487356,0.761666982520375,24.6118917118928,24.7578579430728,25.514230314646,25.332357186668,24.6529869294567,25.7018392469377
"sp|P08032|SPTA1_MOUSE",2,0,0,2,2,2,0.134881205750308,0.469446878114199,21.6850037361903,NA,NA,22.2130444324274,22.2910365476289,23.1119938638701
"sp|P08071|TRFL_MOUSE",33,34,33,32,30,33,0.0108405084016679,0.181837298936928,29.5986418156767,29.9237083542391,29.4797525055584,29.027482857969,28.9104500168493,29.0825502750686
"sp|P08113|ENPL_MOUSE",19,16,16,20,20,19,0.00570897843759616,0.165427607749879,28.0864273223048,27.8458107856845,28.0398986861084,28.5760999356512,28.7260180005238,28.6575883126848
"sp|P08228|SODC_MOUSE",5,6,6,5,6,4,0.00689556182967825,0.173000388492598,28.8629679249822,28.5402037054348,28.340169900343,27.7390823147569,27.9306187991074,27.409296334734
"sp|P08249|MDHM_MOUSE",16,16,16,15,16,16,0.796759144315231,0.923403542978557,29.8466629858557,29.8284744531411,30.2221984354728,29.7474218726302,29.9058154081068,30.4412400988323
"sp|P08752|GNAI2_MOUSE;sp|B2RSH2|GNAI1_MOUSE;sp|P20612|GNAT1_MOUSE;sp|Q3V3I2|GNAT3_MOUSE;sp|P50149|GNAT2_MOUSE;sp|P18872|GNAO_MOUSE;sp|Q8CGK7|GNAL_MOUSE;sp|P63094|GNAS2_MOUSE;sp|Q6R0H7|GNAS1_MOUSE",11,10,11,11,11,10,0.952972146954449,0.989050817927249,26.7557710230839,26.7548758897978,26.952105415503,27.0609390756166,26.7497579425191,26.6853668125233
"sp|P08775|RPB1_MOUSE",2,2,1,2,2,2,0.783763643502618,0.92172091682455,23.2732012207631,23.0271274344203,21.4474530265166,23.0311217263344,22.2980249228957,22.8563126358166
"sp|P08905|LYZ2_MOUSE",2,2,2,2,2,2,0.313212176543283,0.636067137542118,26.8704623518607,26.352572008385,26.5474601747884,27.2621758829676,26.6577174018189,26.6648083210076
"sp|P09103|PDIA1_MOUSE",18,16,14,17,17,17,0.166553078002615,0.496471615290092,27.1462981887256,27.2569693034332,26.8545070824697,27.2406718324589,27.4731846048901,27.4041526049986
"sp|P09405|NUCL_MOUSE",26,27,25,24,24,25,0.552894451081876,0.800123677175398,29.6976180981334,29.520353530538,29.5312148874997,29.3883581240589,29.4597879253657,29.5979656025198
"sp|P09411|PGK1_MOUSE;sp|P09041|PGK2_MOUSE",13,12,12,10,12,12,0.325977930177709,0.64695539105205,29.1389750249367,28.8715847206062,28.7149918064505,28.857294998725,28.5630849930608,28.7008883811026
"sp|P09671|SODM_MOUSE",3,3,2,3,3,2,0.224334057783512,0.559487536250476,24.6250509792515,24.1572622578988,23.5778215111532,24.0289014631092,23.9302310994479,21.813354330218
"sp|Q3THW5|H2AV_MOUSE;sp|P0C0S6|H2AZ_MOUSE",3,3,3,3,3,3,0.153079318540506,0.479238268596659,28.3914769917561,28.8371829870969,28.9595920483932,28.3916517682729,28.4032637164316,28.4141838004021
"sp|P0DOV2|IFI4_MOUSE;sp|Q8CGE8|IFI5A_MOUSE;sp|P0DOV1|IFI5B_MOUSE",1,1,1,1,1,1,0.277508916167286,0.607926198646231,22.5985299548084,22.9437883620373,22.8246257094976,22.3926515475452,22.6143328507968,22.7073429154555
"sp|P0DP28|CALM3_MOUSE;sp|P0DP27|CALM2_MOUSE;sp|P0DP26|CALM1_MOUSE;sp|Q9D6P8|CALL3_MOUSE",6,6,6,7,6,7,0.0566388416928687,0.349248782031522,29.5253769448467,29.3952087163168,29.397134726912,29.0173428047657,29.1649487735521,29.0548232774932
"sp|P10107|ANXA1_MOUSE",17,17,17,17,18,18,0.646518077120811,0.841684615112719,28.9502900677917,28.7935184766404,29.2547446044087,29.0064792193329,28.7528945653371,28.9614899453828
"sp|P10126|EF1A1_MOUSE;sp|P62631|EF1A2_MOUSE",15,16,16,15,15,16,0.550085432390236,0.797912047448468,31.2151197353602,31.0922533890153,31.8290347235859,31.2989204623098,31.4683249374847,31.8820777569885
"sp|P10518|HEM2_MOUSE",5,5,5,5,5,5,0.840252365656505,0.938972598751574,25.3669284776208,25.1907312347254,24.8038468870677,25.2204374625809,25.2550515062727,25.0159859861277
"sp|P10605|CATB_MOUSE",5,5,5,4,4,2,0.000702028383885869,0.0976701378739018,26.3853892275585,26.0803671840067,25.8557605186813,24.819798155726,25.0284650633588,24.7873486209187
"sp|P10630|IF4A2_MOUSE",1,1,0,1,0,0,0.258538713775021,0.59378870950682,21.4472408140657,21.2096247461227,NA,20.8875126628315,NA,NA
"sp|P10639|THIO_MOUSE",2,1,3,2,4,3,0.376013233870427,0.692452288656394,26.6616642154763,26.1047948380047,26.0535571095276,26.3174529440586,26.7653642474705,26.420003282012
"sp|P10649|GSTM1_MOUSE;sp|Q8R5I6|GSTM4_MOUSE;sp|Q80W21|GSTM7_MOUSE;sp|P15626|GSTM2_MOUSE;sp|P48774|GSTM5_MOUSE",3,1,2,1,1,1,0.0640791579637816,0.363494732472905,25.1304895903425,23.4976109057588,23.9922946691568,22.9454009837039,23.5065337221884,23.2681582142028
"sp|P10711|TCEA1_MOUSE;sp|Q9QVN7|TCEA2_MOUSE",5,6,6,5,6,6,0.156448885403128,0.485273124578105,24.8076820500035,25.2411865460988,25.3416759193519,24.3116704379782,25.0146952540195,24.821560890676
"sp|Q8CGP1|H2B1K_MOUSE;sp|Q6ZWY9|H2B1C_MOUSE;sp|Q64478|H2B1H_MOUSE;sp|P10853|H2B1F_MOUSE;sp|Q8CGP2|H2B1P_MOUSE;sp|Q64525|H2B2B_MOUSE;sp|Q64475|H2B1B_MOUSE;sp|P10854|H2B1M_MOUSE;sp|P70696|H2B1A_MOUSE",7,7,6,7,6,7,0.434440069291741,0.73448076843624,32.0485434667331,32.4363642164159,32.6857140139282,32.0812333689056,32.3663706923009,32.1761676627994
"sp|P10922|H10_MOUSE",4,4,4,4,4,4,0.176011152964077,0.505322342380737,25.576704522498,25.783970783392,25.829956214373,25.5885289154071,25.485023437697,25.3455784408855
"sp|P11031|TCP4_MOUSE",5,5,4,4,4,5,0.0308156092784484,0.266052813070946,27.1729044697952,27.06449557712,27.0287228483163,26.6010008839359,26.6875005893695,26.707774069853
"sp|P11032|GRAA_MOUSE",13,11,10,10,11,13,0.0118329912470404,0.185043838457913,26.9230591119423,26.2981871390585,26.3437193166905,27.208884595514,27.5213843268115,28.2274259314617
"sp|P11087|CO1A1_MOUSE",2,0,2,1,1,2,0.0977015116342315,0.422838068171796,21.8993568082164,NA,22.1428294413203,20.5345254368899,18.4944233012539,21.5975548421938
"sp|P11103|PARP1_MOUSE",11,12,11,11,11,12,0.969180568378924,0.993908696418661,26.6805219785546,26.8437014570132,26.9159009922992,26.5662672471083,27.1215669213071,26.7276377159793
"sp|P11247|PERM_MOUSE",16,16,15,14,16,16,0.271265633101433,0.602490158367889,28.0500780756856,28.1361664825493,27.7956805693989,27.7422887009064,27.9146207221934,27.6873377076944
"sp|P11352|GPX1_MOUSE",9,9,9,8,9,9,0.139113540909804,0.472283689851485,27.3380560056669,26.8707171024363,27.0017111999998,26.6541566697784,26.6081656692764,26.9305409416066
"sp|P11499|HS90B_MOUSE",27,29,28,28,27,28,0.155595086801876,0.484678695387844,29.4643252226995,29.5889894998774,29.5544368501406,29.7440669521372,29.726785583293,29.8861858219114
"sp|P11835|ITB2_MOUSE",19,18,19,18,17,19,0.472683391854426,0.756050714057273,27.2989133481104,27.3245079467758,27.2851298793259,27.4707166838443,27.2112586855041,27.6300843770221
"sp|P11911|CD79A_MOUSE",2,2,2,2,1,2,0.244992726570358,0.584404472563661,23.6962692433824,23.6969122282703,23.3458617735465,23.5686293579694,22.6067188154201,23.4286062529337
"sp|P11942|CD3G_MOUSE",2,1,2,1,2,2,0.735964623568134,0.896850684651648,21.4370858006334,21.4582797760843,22.5840579547589,20.6742081143231,21.8921998289007,22.3612083610093
"sp|P11983|TCPA_MOUSE",12,12,10,13,14,14,0.519134057623216,0.778388731406169,27.3332972491558,27.2438002031784,27.0429761382764,27.5990371248315,27.0713491080112,27.3639316939062
"sp|P12265|BGLR_MOUSE",2,2,2,1,0,2,0.14265083365706,0.473946780719821,22.261101833557,22.1924095629015,21.7807882787318,19.1344486919763,NA,22.0789853281672
"sp|P12787|COX5A_MOUSE",4,4,4,4,3,3,0.429301551929603,0.730751002328258,26.8475403879146,26.1938317439043,26.1654499895985,24.8200679343308,24.6618876631041,27.6704488277902
"sp|P12970|RL7A_MOUSE",9,9,9,9,9,9,0.732819015789898,0.896850684651648,27.5621354948568,27.8359789972856,27.4448800725833,27.656892869797,27.5440491026955,27.4496828948344
"sp|P13020|GELS_MOUSE;CON__Q3SX14",12,12,12,10,12,11,0.0413186748253183,0.305054516167912,27.1932492890481,27.172459429139,27.3574089688296,26.6858543453311,26.9397319773306,26.8355444276709
"sp|P13379|CD5_MOUSE",2,1,1,2,1,0,0.215194054476566,0.549450393192217,23.7116208280614,22.6720410746661,21.8120205389769,22.3552852873591,21.33637465,NA
"sp|P13634|CAH1_MOUSE",3,2,2,3,3,2,0.0769102312374743,0.382577939503337,23.4455592984407,22.83753596693,21.8327313055822,23.3041762211945,23.8509283152198,23.6288542831227
"sp|P13864|DNMT1_MOUSE",3,2,1,3,3,4,0.0252526172268647,0.238369402005101,22.4778854918544,22.6179032830236,20.9868279587897,23.2874632138559,23.1351094330611,23.6635474250555
"sp|P14115|RL27A_MOUSE",7,7,7,6,6,6,0.674768931593657,0.852313769027206,26.8866269366809,26.6841224748279,26.5091816846307,26.4354591576932,26.3271327045546,27.0028307407637
"sp|P14131|RS16_MOUSE",7,7,8,8,6,5,0.932625544623582,0.978157768182646,26.8057806162564,26.6974426819415,26.8037644214333,26.9098234434488,26.7293830293675,26.7094236961094
"sp|P14148|RL7_MOUSE",7,7,7,8,7,9,0.718449462822712,0.887680962031527,27.5656251107296,27.4730811276476,27.2382563082606,27.4785138965118,27.2907999977531,27.7271109140199
"sp|P14152|MDHC_MOUSE",11,11,11,9,11,10,0.00885622237582569,0.180899230824243,30.3554017932335,30.2279331147287,29.9284454611404,29.5904635312503,29.4336701020419,29.446980755448
"sp|P14206|RSSA_MOUSE",10,10,9,10,9,9,0.477054201383489,0.757449119435599,28.7093200023653,28.6110606677874,28.8311603533718,28.6775484036087,29.0483183077561,28.8275468234827
"sp|P14211|CALR_MOUSE",14,13,14,14,15,14,0.790805518859657,0.92172091682455,28.8282216077104,28.6023536072418,28.556824253108,28.6409853068295,28.5871085090343,28.6250805829007
"sp|P14483|HB2A_MOUSE",1,1,0,0,1,1,0.0177273347782135,0.214673466726595,20.3049588314922,20.9328117833733,NA,NA,21.6629614037932,22.0317148436068
"sp|P14685|PSMD3_MOUSE",6,6,6,7,7,5,0.826173139410768,0.935847601108423,25.7293579179784,25.0989178053219,25.0017291735886,25.2265152402366,25.682291468711,25.1078205696767
"sp|P14733|LMNB1_MOUSE",32,34,32,30,33,31,0.247025262812133,0.584404472563661,29.5442429191704,29.9005855667308,29.7796535000079,29.2881985697262,29.562537881139,29.6485374827365
"sp|P14824|ANXA6_MOUSE",34,33,34,31,33,31,0.147585353867809,0.473946780719821,30.0040824617618,29.5483830069719,29.4279253766573,29.1861203699718,28.900918564892,29.6065834100884
"sp|P14869|RLA0_MOUSE",7,7,7,7,7,6,0.429977475300554,0.73090304805524,27.6937200762769,27.4490573479844,27.6092567212426,28.0487895103404,27.6800641981158,27.5283147203248
"sp|P14901|HMOX1_MOUSE",3,3,3,3,2,2,0.00415689819876274,0.147985575875953,24.0920002350538,23.7356974928656,23.8214195564495,23.1558336233249,22.6253597912761,22.1832884700627
"sp|P15508|SPTB1_MOUSE",1,0,0,1,0,1,0.171746765673718,0.503521105951654,19.385760757977,NA,NA,24.3427218258952,NA,20.6389102267079
"sp|P15532|NDKA_MOUSE",2,2,2,2,2,2,0.922678971343162,0.974182545249558,26.0600679083579,24.8680494087849,25.8715438306549,25.8170435285405,25.2511248189255,25.8414506147904
"sp|P15702|LEUK_MOUSE",2,3,2,3,3,3,0.802082831305642,0.927173301403931,24.5206833676969,24.0239246451249,24.1332268762392,24.1914529453994,24.2172563226622,24.4246892819339
"sp|P15864|H12_MOUSE",14,14,13,14,14,12,0.975619892690792,0.995213761306354,28.3020079533692,28.7563616258294,28.8212138428342,28.487968082102,28.5017320135425,28.9113400406046
"sp|P16045|LEG1_MOUSE",5,5,5,5,5,5,0.627210352864845,0.834049199220488,27.5877712177464,27.0986500977838,27.1354238325758,27.3378879790385,27.4058802972364,27.3741842986768
"sp|P16110|LEG3_MOUSE",3,4,4,3,4,4,0.116098077567968,0.446929649819721,24.1368898512446,23.5120420171726,24.3971142295718,24.3958838374647,24.552113636632,24.5066682943363
"sp|P16125|LDHB_MOUSE",3,3,3,3,2,3,0.00304727915161719,0.130993333719095,24.2231593390203,23.7822572555933,23.9069921319192,23.2325513070493,22.5190659162835,22.6980202874971
"sp|P16330|CN37_MOUSE",6,5,5,6,5,6,0.0106161208041883,0.181837298936928,24.4461019370031,24.3999925672775,25.2317733741953,25.5583169835332,26.16513412302,27.099245154065
"sp|P16460|ASSY_MOUSE",3,3,3,3,3,3,0.482786613795424,0.760495727925535,23.6477161409183,24.1087882231659,24.3685188403546,23.5522239100991,23.8616759634198,24.1308284986623
"sp|P16546|SPTN1_MOUSE",33,30,31,31,32,33,0.164629691073995,0.494285771272767,27.7752007905378,27.5789316702746,27.5213440735874,27.1745889399856,27.4619408889544,27.4181056230197
"sp|P16858|G3P_MOUSE;sp|Q64467|G3PT_MOUSE",13,13,12,12,13,13,0.0496083860164939,0.328787494556124,31.737589045182,31.3539966312701,31.6811619275489,31.0547194743702,30.9387525781744,31.3365019045612
"sp|P17047|LAMP2_MOUSE",2,2,1,1,3,2,0.031306754721064,0.267179564263327,NA,20.5546227824635,21.2412554979023,21.77548092841,24.3000068259077,23.1985587549547
"sp|P17095|HMGA1_MOUSE",3,3,3,3,3,3,0.378733230938143,0.694995001102983,24.6044973002514,25.1082564100376,24.4275106534198,24.4054799539845,24.587620775148,24.5147710929062
"sp|P17182|ENOA_MOUSE;sp|P17183|ENOG_MOUSE;sp|P21550|ENOB_MOUSE",20,20,17,18,20,19,0.163343452034825,0.49279888918981,31.3303992337676,31.232678916099,30.805289273146,30.7167980918037,30.8102253677415,30.8984137080694
"sp|P17225|PTBP1_MOUSE",12,11,10,12,10,11,0.196384436350541,0.52630221501821,28.144000625981,28.2201753750681,28.6718732531149,28.6701973130696,28.6889240769981,28.543599416588
"sp|P17427|AP2A2_MOUSE;sp|P17426|AP2A1_MOUSE",1,1,1,1,1,1,0.670754992172683,0.852313769027206,21.3956605728774,20.0519439789157,19.8250678271914,21.3301086120254,20.0736492095311,NA
"sp|P17710|HXK1_MOUSE;sp|Q91W97|HKDC1_MOUSE",8,5,6,7,5,6,0.344237731291106,0.665656882406367,25.0880072938226,24.8735139995956,25.1530419203789,25.1838843353013,24.3590965553249,24.8079659383501
"sp|P17742|PPIA_MOUSE",10,10,10,10,10,10,0.0443159990552164,0.316213173897447,31.293497469716,31.0978251506303,31.0809684872784,30.6820635939478,30.8567627281603,30.7158585858104
"sp|P17751|TPIS_MOUSE",10,10,11,11,10,11,0.864128238891271,0.947889746069104,28.8754021213004,27.9915510000202,28.5105212931113,28.1195953396216,28.1170319233383,28.961041985647
"sp|P17918|PCNA_MOUSE",3,4,6,5,6,4,0.0415927856189975,0.305054516167912,24.2365524939988,24.7519849354855,24.9976253897336,25.2836575665761,25.6771019817464,25.0850677906458
"sp|P18242|CATD_MOUSE",2,2,2,1,1,2,0.175451983645212,0.505322342380737,24.2326262209851,24.1235999518225,24.283075673597,23.7097248683823,24.0713491080112,24.0456955613874
"sp|P18572|BASI_MOUSE",2,1,2,2,2,2,0.0797498212899316,0.385148361733546,22.7607089458996,20.6145689542055,21.7461896172079,22.6925473531663,23.0421046882576,22.6626661452586
"sp|P18654|KS6A3_MOUSE;sp|P18653|KS6A1_MOUSE;sp|Q9WUT3|KS6A2_MOUSE",2,2,2,2,2,2,0.147507825140939,0.473946780719821,22.9904405376643,22.7646620268352,22.4838965545842,22.5332623155127,22.455754083178,22.2745280175225
"sp|P18760|COF1_MOUSE;sp|P45591|COF2_MOUSE",12,12,13,12,13,12,0.301182026730589,0.634979366000532,31.4517141717615,31.1826439999216,31.8449637446583,31.4778835464253,31.7752377846272,32.081740407349
"sp|P19096|FAS_MOUSE",3,3,2,3,5,5,0.0202004892868808,0.216956306631472,23.3062545610021,22.2567019542465,22.8206535827982,25.5047471317377,24.2471355352119,23.5633136390966
"sp|P19157|GSTP1_MOUSE;sp|P46425|GSTP2_MOUSE",4,4,4,4,4,4,0.0256646652738167,0.238643081575937,28.0379427498267,27.6472044022418,27.6132619194866,27.2433900054205,27.2508661091533,27.2136116661865
"sp|P19253|RL13A_MOUSE",6,7,6,6,6,7,0.493298079425009,0.761902816619,26.2141078939457,26.3917752529197,25.7069005914014,25.8450189157973,25.9013471877404,26.073178616828
"sp|P19437|CD20_MOUSE",2,2,2,2,2,2,0.969765987541904,0.993908696418661,23.4668398289637,23.5438532604285,23.7228809018156,23.3760576753436,23.758403244419,23.5776655319008
"sp|P19536|COX5B_MOUSE",2,3,2,3,2,3,0.602945073547188,0.826336791183789,24.3047593851601,24.4506764335547,23.9256497395654,24.3699531219519,23.2710911372174,24.4510523695113
"sp|P19783|COX41_MOUSE",5,6,6,6,6,6,0.469064930605328,0.754063400567271,26.1240042894889,26.0731638386895,25.702616776546,25.9871066866549,26.1332354895547,26.2146369629683
"sp|P19973|LSP1_MOUSE",9,9,9,10,9,10,0.0186073309843277,0.214673466726595,28.8806386936363,28.7361585601984,28.300538867569,27.9874189921093,27.9388328818143,28.065962954332
"sp|P20029|BIP_MOUSE",22,22,22,23,22,23,0.0671645768450429,0.368876016174299,29.1172235386119,28.9886902730981,28.6088437894922,29.2981096977221,29.3713699013563,29.3117380769471
"sp|P20060|HEXB_MOUSE",2,1,2,1,1,1,0.164072603759308,0.493803053826323,23.2835613676617,21.8020101427536,23.3666889433846,22.3069198966828,21.995972235899,22.0888004322616
"sp|P20065|TYB4_MOUSE",2,2,2,2,2,2,0.0585818930360227,0.349248989104709,28.6897876284731,28.7251759468153,28.3721522211756,27.9582407816434,28.3895804653676,28.0500828475281
"sp|P20108|PRDX3_MOUSE",4,5,5,5,4,5,0.044011023377457,0.316213173897447,25.7793426606902,25.9090833875587,25.874766238656,25.4512027405257,25.4900300556489,25.4909569077104
"sp|P20152|VIME_MOUSE;sp|P31001|DESM_MOUSE;sp|P15331|PERI_MOUSE;sp|P03995|GFAP_MOUSE;sp|Q9DCV7|K2C7_MOUSE;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__P05787;sp|P11679|K2C8_MOUSE;CON__Q9H552;sp|P46660|AINX_MOUSE;sp|P08551|NFL_MOUSE;CON__Q9NSB2;CON__Q6ISB0;sp|P08553|NFM_MOUSE",30,31,29,31,30,29,0.247283426128369,0.584404472563661,29.6654555391497,29.9740924596328,29.9959345859856,29.5003307642084,29.78937933445,29.64967510538
"sp|P21107|TPM3_MOUSE;sp|P58774|TPM2_MOUSE;sp|P58771|TPM1_MOUSE;CON__Q3SX28",10,10,10,11,11,10,0.0501236345026926,0.32965134245186,28.5508012936661,28.2478153072558,28.0213125601608,27.845217748237,27.8660405417483,27.6888141141418
"sp|P21619|LMNB2_MOUSE",7,8,8,6,6,7,0.832949429879005,0.935847601108423,24.4315155953891,25.4815094919121,25.7141145215096,25.2079984128416,24.908811149195,25.2743601988652
"sp|P21812|MCPT4_MOUSE",2,0,1,1,2,2,0.808267082431013,0.929231453374433,21.5476074811393,NA,19.7699688226346,19.4191814844436,21.149170246946,22.1200009226734
"sp|P21958|TAP1_MOUSE",3,4,4,6,3,6,0.150529988438372,0.476081877882252,24.1663879488805,24.8322919847966,24.6091151579566,25.4530825644581,24.4153994022843,25.446125476797
"sp|P21981|TGM2_MOUSE",4,4,5,5,3,4,0.578373231409716,0.817269965794851,24.1591800984017,23.387461138551,24.187708690617,23.8923032491117,23.5085607460865,23.8540685054152
