"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"D3Z6Q9",7,5,4,7,4,7,20.7374702722744,20.2164379903433,19.363882802406,19.8328971631276,19.4319337411257,20.4011056952633,-0.183051191571373,0.0114430666417166,0.084607544547822
"O09061",8,6,5,8,5,6,20.994649064291,20.3363566858195,19.4907643396638,19.5097236790775,19.4971191749258,20.4764957988173,-0.130215802089246,0.247062948621096,0.641518365313087
"P50247",17,15,11,13,11,15,21.572220778935,20.9713682106553,19.7238674389802,19.9926576199215,19.6762837413868,20.7712740722271,-0.458942477522636,0.0130545154995977,0.0904310369802231
"Q8BMS1",13,9,11,15,14,17,20.5260428340486,19.9407514119033,19.4721699496382,19.9410045676125,19.4768753148934,20.3588191745468,9.48987448602254e-17,0.999999987625801,1
"P27659",13,11,9,7,7,12,21.3590795760673,20.851101738436,19.6597106703969,20.6624459300205,20.2636338814919,21.2270705366926,5.7101058202269e-05,0.983155919219302,1
"P67984",4,3,3,3,2,3,22.7533283513513,22.1993096054128,21.3267018390706,21.9350386503451,21.2266360678621,22.2578161063051,-8.40941756248687e-11,0.999984951273666,1
"P35821",2,2,NA,2,2,2,18.5619407648242,18.5207582888922,17.2507435726994,18.6323061554563,17.9796934535733,18.8016114528462,0.317026461925018,0.0270514556589303,0.144911949362958
"P70296",7,5,5,6,5,5,22.6087665555362,22.2446547311959,21.0703457389013,21.6404268617376,21.1336690942912,22.1578541317659,-0.146399718778723,0.182946189663765,0.519014339264797
"P17742",14,13,12,13,12,13,23.8645648647097,23.3659907101154,22.2894542846081,22.4923706415336,22.2597590341759,23.4301984426403,-0.317440169134132,0.011749176163069,0.0859798686394841
"Q9DCD0",11,11,7,9,8,12,22.0106202674069,21.5734265406901,20.5202915063032,21.4758069862187,20.9607373128294,21.9258748331185,4.98593990876076e-20,0.999999999483378,1
"Q08093",4,3,3,5,4,4,20.9220724073786,20.6939272936552,19.9340782765694,20.4432337200668,19.8444533864393,20.8772854597971,-8.64486629233045e-20,0.999999999522119,1
"P11672",5,6,4,NA,NA,NA,18.0764886290126,18.2316044190343,17.1846729385621,17.1420273145771,17.1745139764889,17.9036485685898,-0.495761885182366,0.0172019265116895,0.111650155735594
"Q3TBD2",5,7,3,4,3,5,19.9523679308643,19.7104689039287,18.8665673518153,19.1493217035037,18.792515966942,19.7783836496597,-0.149874834167531,0.0956027928653723,0.327689351598255
"P57776",7,6,4,5,5,7,20.7253169996787,20.4379748087688,19.7297719245763,20.2640144051357,19.9400742972636,21.0345149901846,0.150809250668402,0.0209325320549534,0.123944909719579
"Q9JL26",6,8,6,5,NA,11,19.5538584513587,19.3108438643281,18.5868380630594,18.8456665255919,18.3230415489154,19.4123529270409,-0.148207037708241,0.167417155268625,0.485577806033185
"Q61753",7,8,7,8,7,8,20.2062835331486,19.8795651829929,19.0528583738771,19.9604256733372,19.6825771355557,20.3446468789212,0.366157250296917,0.00102510859757203,0.0149268364156662
"P12970",9,10,11,12,12,12,20.891202325184,20.6318911293307,19.5228557649514,20.2516896213757,19.7887601241782,20.8572738486253,3.10797044179616e-10,0.999964423918748,1
"P17182",20,17,17,16,13,18,22.9656173577441,22.3181078821813,21.3653198073063,21.736730182872,21.3631543184275,22.4427900435508,-0.36618544115944,3.29228146382587e-05,0.000999592691250961
"O88342",18,16,16,17,16,16,21.7988733162036,21.1995500382019,20.3077079780241,20.6584335619669,20.3020339265951,21.3743231510944,-0.268717534726759,2.22685654041062e-05,0.000722210064355899
"P56480",17,17,18,18,19,18,22.0336655881029,21.5352898942847,20.7032746950775,20.9269550428738,20.7318754241595,21.6897328199455,-0.148383708074804,0.00846643096992799,0.0686454374664048
"Q68FD5",36,27,26,28,24,40,20.5476717770119,20.0515050999655,19.3910297410564,20.0827390904131,19.8302239187104,20.7390535874139,0.203020129801687,0.000180914275595859,0.00399239434499034
"P62267",7,6,4,6,5,4,20.3078011027216,19.8998385211684,19.0820440144012,19.7618051962517,19.4588848051396,20.4333133132869,0.184900207926277,0.0615283827576688,0.247242144507545
"Q9DAR7",7,7,7,7,5,6,21.2715075977597,20.6287297331914,20.2132745209041,20.3564583421024,19.7257650135583,21.0405160599901,-0.0631733546589825,0.441012615317634,0.950641997066865
"P97384",5,4,4,6,5,8,19.8894564204699,19.7909825177149,18.8285929704641,19.6116292543648,19.2117521888996,20.1450459443709,0.196709464800303,0.0747977275676676,0.27524166218228
"P11352",9,9,8,7,8,7,21.0543472946963,20.4453635441055,19.4383588669477,20.0698426623081,19.6926445206588,20.4055089531975,-0.0768252402190022,0.333111667522553,0.788309037404119
"P62717",9,8,8,8,5,9,21.1351802534677,20.4196048815414,19.3994433964656,20.6190133534871,20.0871330553011,20.9075199377538,0.223973726341822,0.0514966992632655,0.218707707882976
"P09411",11,10,9,10,9,8,22.0146722448465,21.3743091934994,20.4338286309133,21.0990541874129,20.6444188905921,21.4930390902675,-5.98849269137432e-20,0.999999999569063,1
"P16330",3,4,3,9,4,9,19.0677504420394,18.6087692935831,18.0111167977867,18.7018664999926,18.5645918931445,19.2647585832014,0.300077804965009,0.00846296698576777,0.0686454374664048
"Q01853",28,22,22,25,22,28,21.1593818286824,20.5870324728535,19.5730265424689,20.4881767077136,19.9775289758352,20.9046364339891,3.77664520811999e-20,0.999999999509313,1
"Q9Z0X1",4,5,3,4,5,4,19.6895617295565,19.3317060175848,18.6550785230617,19.0647253483024,18.7494010696893,19.4272359824301,-3.11502827854946e-20,0.999999999701822,1
"Q99L47",7,6,NA,6,4,5,20.1162095387881,19.8026896408629,18.7514306744145,19.2899617593258,18.8371358292155,19.6709475997068,-0.198314707911926,0.0418625017978563,0.195221536161899
"O08692",15,16,11,13,11,13,21.9791502525015,21.8971616989348,20.7645239959659,21.137629839477,20.7138678096131,21.5962213032013,-0.280094855864123,0.0268903277922494,0.144801878337887
"D3YXK2",3,1,NA,NA,NA,NA,19.554763680074,18.6018898699774,17.9031974173935,18.8187312573415,18.3237670184816,19.1695503949819,7.08253131395998e-20,0.999999999535202,1
"Q8BJU0",2,2,NA,NA,NA,NA,19.4166531865135,19.1303119515073,17.9104333289615,18.8191964352509,17.5810300887371,18.4653800187862,-0.211413029682173,0.298187131447306,0.737309090694784
"P97807",11,9,8,9,5,9,20.2842934438826,19.8132776546726,18.8153448075877,19.6511318189763,18.920259492241,19.9813567756603,-4.40258754069587e-20,0.999999999667096,1
NA,NA,NA,NA,NA,NA,NA,17.0199106739823,18.0431992903371,16.6704568514443,17.9075088105568,17.1814135623217,18.3089260570049,0.139438515372245,0.443799430021572,0.951070129992392
"Q9WUM4",4,5,5,6,3,5,19.411333442808,18.9809924468014,18.1301132189201,18.5875591955676,18.1775224372425,19.245737598643,-8.22604239111325e-20,0.999999999458642,1
"Q9Z2U1",6,6,3,5,3,4,21.46787433274,20.7167888928527,19.7876982938751,20.1955422244935,19.8842128596758,20.6946481555997,-0.323577640412479,0.0125943650109987,0.0889710835182929
"P35486",7,6,5,4,3,3,19.8990509550216,19.5720169128525,18.6537118969907,19.066688366757,18.6767789840894,19.0583797745787,-0.279611514164825,0.0879756328746664,0.306946768000364
"P61924",NA,1,NA,1,2,3,18.9624762903489,18.8226702075093,18.660512867201,19.5344031903096,19.4180361878813,19.9099732302838,0.365185915826343,0.146381177446164,0.444438170671651
"Q9D662",NA,NA,NA,NA,1,NA,18.6317439241405,18.7730032066045,18.101178000672,18.8968278565393,18.6014548070094,20.0179577996966,0.61269621808089,0.0229737089110525,0.129578982672221
"P24527",18,18,16,16,14,18,21.0978375006992,20.5521224424774,19.3552118366831,19.8911599972709,19.3429588631039,20.3249233547977,-0.326239375146726,0.0123808991809921,0.0883377156563787
"Q5FWK3",3,2,NA,3,2,4,19.6843752778846,19.225446622241,18.6285282801846,19.2808381378727,19.1291244729803,19.888118593722,0.243074199342101,0.0276555665032307,0.147255572388471
"Q9QUM9",7,7,4,7,8,5,20.3522120547555,19.5596270278991,18.675957584948,18.8779966364563,18.5678230198154,19.8284085613933,-0.31201405802987,0.00238873861939397,0.0279404099170098
"Q3U0V1",11,10,10,10,9,10,20.4067204208562,19.8372419279656,19.26290469574,19.8819219126234,19.4598410775584,20.3921765826539,0.0306581042505555,0.471405222841751,1
"P39054",4,3,2,2,4,2,19.3026057489123,19.0214839890562,18.7624413027991,18.5691478443995,18.7584286761339,19.341276015005,-3.6153425564835e-21,0.999999999979297,1
"P14685",8,4,5,6,7,9,19.3423525100151,19.1662024390988,18.2188942590906,18.9287392918865,18.600547339009,19.4326577765255,5.86790842701954e-08,0.999354080395016,1
"Q76MZ3",9,6,6,6,4,9,19.6863941277176,19.6011148929706,19.0396328269104,19.1148548369743,18.6902731612934,19.7281725491374,-6.52316052614393e-18,0.999999996120494,1
"Q8BP67",8,5,2,4,6,5,21.5781686305935,21.0707328851475,19.7816014894354,20.6949948334829,20.1458748976104,21.1040667334042,-4.06108268484715e-20,0.999999999758121,1
"Q8R081",12,12,13,13,13,13,20.795842222803,20.4756545897083,19.855168777199,20.1917773179598,19.8798457716511,20.7487773704675,-9.73819604851768e-11,0.99997093013438,1
"Q99KI0",22,18,16,19,17,20,20.8453078061484,20.2945451522989,19.5493487461626,19.915065225814,19.535929653959,20.4152785017038,-0.172461335190656,0.00129281344454226,0.0180867135819784
"P22907",2,NA,NA,NA,NA,4,19.8857106895925,18.9078497279339,18.9240622307175,19.2070490432775,19.5222736358838,20.5036568426244,0.352637313930755,0.160557319535118,0.473378708629368
"Q3U9G9",15,16,13,13,9,16,20.7388880047017,20.5708947264583,19.7099473598919,20.1459641854477,19.8636971570501,20.787240710784,-1.08642811349938e-20,0.999999999870743,1
"P50516",4,3,NA,3,4,4,18.896617536261,18.4099069716145,17.6377110515138,18.4277286217294,17.0561358596042,18.6040998193522,-1.50145125298506e-19,0.999999999472066,1
"P20029",25,20,22,23,24,27,21.5389140340094,21.0463345147381,20.1507579513417,21.1288801720312,20.7787525469186,21.7190799796611,0.322712679456671,2.33208444337503e-07,1.66394225034809e-05
"P14211",19,14,12,16,14,18,21.4383719663773,20.895737807043,19.9885374795609,20.6506526074088,20.1566829246461,21.3511731078398,-2.07632622215009e-20,0.999999999766844,1
"P43276",12,11,12,13,13,15,23.0718431413779,23.0435297414051,22.2350702296602,22.3904111420491,22.2261513224951,22.9816386798278,-2.13566633649218e-20,0.999999999698828,1
"Q9WUM5",5,3,2,5,4,6,19.150389434357,18.7958045660364,17.8662743074475,18.4787006241887,18.1882288796187,19.0652757763815,-2.54991324806616e-20,0.999999999842526,1
"Q9CZX8",7,7,5,7,6,8,21.2629454844491,21.008160259628,20.0331852940549,20.8173191109182,20.218928504571,21.2257998668364,1.23807447480569e-10,0.99998748999105,1
"Q9CPW4",2,3,2,2,2,2,22.3778791441428,21.7076114451252,20.7404159231386,21.5589220253845,21.0353859733898,22.0305055660815,2.45882888490015e-12,0.999999011535909,1
"Q91W90",7,5,NA,8,5,8,19.2705761486294,18.4009010311339,17.7726915421792,18.9920555617578,18.6891821266458,19.6142469697711,0.648325609249152,7.39026828954791e-05,0.00198979487720469
"Q64727",7,5,8,13,10,13,19.3293516467445,18.9591310343582,18.4604103348651,19.1114711742464,18.8314629436499,19.5337123215812,0.295080013430796,0.0103615553986,0.0794942986763561
"Q9D898",1,NA,NA,NA,NA,NA,19.9102809615548,19.7253087192566,18.5965662734655,19.7856550056554,18.7340919136475,19.6879964745995,-3.07782448395113e-20,0.999999999847554,1
"Q9CRC0",1,NA,NA,NA,NA,NA,19.242814547245,17.6309869439727,17.8478858476739,17.5957281328069,17.7879185162965,18.9644145660318,-8.93222914452108e-20,0.999999999739575,1
"Q9D8S4",NA,NA,NA,NA,1,NA,19.3950999557927,19.5120151215921,19.5647400929745,19.3231042593541,19.1122160796911,19.9043793667455,5.12481964102971e-20,0.99999999980874,1
"Q60953",14,16,9,13,13,15,19.9209333589389,19.6200612484349,18.9340204487313,19.1678125079483,18.9862500713218,19.7547342419683,-1.39850282488526e-20,0.9999999998183,1
"Q922R8",7,6,5,8,10,11,20.9031711115192,20.576555688593,19.7444369416388,20.9480260547229,20.6238505700718,21.495478718875,0.701038233510484,1.83921710350343e-10,8.74854268899797e-08
"Q9QY81",13,6,10,9,10,12,19.7711197037633,19.6617937519301,18.8619218018474,19.330930887085,19.2249695991663,20.0288876644667,0.0114407131649747,0.734632062216959,1
"Q922P9",2,4,3,3,3,5,19.5462780734331,19.3424999776829,18.6889566299961,18.6283485360592,18.3810779057015,19.4988607469493,-0.13470169611943,0.243985142180954,0.63650237274629
"Q91VI7",12,13,7,10,11,13,20.2495990631268,19.6122618116658,18.6436320033574,19.5801376655097,19.1650189937567,19.9316108177215,0.0211527370568576,0.634131386790255,1
"P02535",3,4,6,4,2,2,20.2682527697647,21.0453580049968,21.5095296762865,20.5088501594189,18.5115733843535,19.4881833078241,-0.890732359745745,0.266686430985025,0.680999449382075
"Q8VDD5",81,81,70,69,66,79,21.0712607461561,20.7500585763962,19.9471485722743,20.337669677554,19.968550431082,21.0422550803625,-0.0481902782558543,0.192755825841723,0.537231569289334
"P30416",3,5,3,6,6,4,19.7282166710387,19.3105924436024,18.3154376213652,19.3065519256753,18.6840660030701,19.6436466420626,0.132389305987493,0.0879284686612749,0.306946768000364
"P27773",27,27,24,24,25,25,21.6175685874227,20.9878850074839,20.231865861571,20.9695606569347,20.5970241548832,21.4790514536966,1.35596318172863e-08,0.999588722214644,1
"P60122",11,8,5,8,9,9,19.6951619259979,19.5001945861259,18.5314596641868,19.2334281473132,18.9921485857362,19.8025571060445,0.152074636347764,0.107893694943647,0.356433986975603
"E9Q7G0",20,17,12,13,9,22,19.3592370004865,19.1265481101079,18.5033519288269,18.7071732985915,18.2796760049027,19.349292840225,-0.0839954940718541,0.282337357009729,0.710573912615315
"Q9CW03",4,3,NA,NA,3,6,19.2071945908884,18.785716231762,18.0949294320021,18.4028221623304,18.0253821722125,18.8359387530661,-0.0834061903557138,0.304213672008891,0.744090080665917
"P43404",1,2,NA,NA,NA,2,18.4241521344711,18.4736874054934,17.410694122605,17.9031289928506,17.2131462352573,18.8366503458222,1.96363248606544e-20,0.999999999870567,1
"Q9CZU6",9,8,8,9,8,7,21.175542153846,20.4130252445436,19.5145144580473,20.1129930954948,19.7064520405476,20.5151110028974,-6.12053173139457e-20,0.999999999585418,1
"Q9D8N0",7,8,10,9,8,11,20.4733375395454,20.0044387573519,19.1148349191769,19.7638733651549,19.4042293782612,20.4853697096146,4.70573894446326e-09,0.999783992203944,1
"P80315",14,10,9,15,13,16,19.9644088347967,19.559307718039,18.6620926898772,19.8844149882079,19.283977870272,20.2382268597201,0.35964691034618,1.55319063168705e-05,0.000554100757854354
"Q9D8U8",3,3,3,5,4,7,19.0195089060371,18.8235006701915,18.1259101578441,19.1415018070945,18.5166204860144,19.3572690647996,0.429605250762795,0.000715122589423845,0.0113386659456425
NA,NA,NA,NA,NA,NA,NA,18.4763145173752,18.2665541946706,17.8199480875325,17.9041887134438,17.5718874679858,18.7546169480214,-1.53356800207568e-20,0.999999999929361,1
"P16546",35,31,24,26,18,29,19.7019382520786,19.4084898106609,18.5390065727284,18.8244903007225,18.6226153400397,19.5122151090258,-0.163058334601504,0.000807515297564864,0.0123323301632397
"P97823",3,3,2,3,3,4,19.8999701459476,19.400932978489,18.5272076104029,19.0730688419456,18.8242200826123,19.6802847562404,-1.05666496480609e-18,0.999999999642182,1
"Q9CR67",NA,1,1,1,1,NA,20.1704864537516,19.3327838734002,18.6445062271598,19.8055977081496,19.0367341631509,17.2413481343853,9.78862047339506e-20,0.999999999773996,1
"P40124",21,20,20,19,19,21,21.5316112884383,21.0371208024023,20.3754426042301,20.8299449516231,20.3985101984294,21.5479784708356,-5.02526658477142e-19,0.999999998741915,1
"Q8BVY0",5,4,NA,4,NA,4,20.7148150199305,20.333100648908,19.6180363144394,20.2255761863522,19.6843111660005,20.8272424819033,7.00766679232397e-20,0.999999999465623,1
"P58252",24,22,22,24,24,29,21.5407508346324,21.0306793708307,20.3889879040594,21.1016651979958,20.7365441670743,21.6394469795848,0.228400572816058,9.73433653752697e-06,0.000421736866621815
"Q00PI9",10,9,10,11,11,12,19.941522612116,19.3494993673271,18.6247995646446,19.0433623756327,18.6505441219059,19.594551507643,-0.105447284547045,0.0955248808116146,0.327689351598255
"O35639",6,5,5,5,4,7,20.4216455319368,19.7870235745563,18.5491760806473,19.3838328555875,18.9611290760304,19.8176561503589,-1.33237596001338e-18,0.999999998179843,1
"Q8K1I7",5,3,3,5,3,5,19.7768978036089,19.4577483145365,18.6399944684379,19.3161021933773,18.9025357552688,19.8621929840672,0.0586437911274053,0.392966191244832,0.875222029666993
"O54824",10,13,12,10,10,14,20.284304304996,20.0380626460711,19.1091440547327,19.5702536402799,19.0232953155642,20.0075895125618,-0.197627925883751,0.00132239894534547,0.0182376333236895
"Q9DBJ1",8,7,8,8,7,11,20.7912131904086,20.3563471475361,19.6766959399773,20.4219740252791,19.7744089129251,20.7836467222207,7.80582445338172e-20,0.999999999284569,1
"Q61074",6,2,NA,6,4,7,18.778721216584,18.1700595126583,17.2650878874905,18.0728467315571,17.8583786590923,18.754862994979,0.155694738795261,0.0362204376274835,0.176475108198439
"Q9CSU0",4,1,1,1,2,3,20.0553732601715,19.8690619303478,18.5294127715893,19.218720695865,18.7495155485193,19.8803384672323,-0.0564242451090288,0.429765579964256,0.931914407059078
"P68433",1,NA,NA,NA,NA,1,20.4119979536162,19.7955774856142,20.0164596422687,18.3106119797734,20.6462641438564,21.5135949488569,2.78363901392515e-19,0.999999999653348,1
"P80317",8,9,6,9,10,9,20.4825812621043,20.0207144796134,19.499920872456,20.0393189641308,19.6056074152736,20.4590174377153,0.0348194183119633,0.539249936611883,1
"Q8K1M6",NA,NA,NA,NA,NA,3,18.5062164804558,17.9405561428377,16.8896026368721,17.6940700299511,17.6981182684829,18.8344297160818,0.270363602196452,0.234218240829059,0.617799315458535
"Q8BJY1",3,5,NA,4,2,5,18.8010075870683,18.772812051527,17.5326890063659,18.6009290299151,17.9014305527842,18.8482605945026,0.05888261280793,0.490761361940592,1
"Q91VD9",5,2,5,7,4,6,20.0363955920316,19.7046885553651,18.8296839952299,19.3765469082516,19.1649852737062,19.7417387727544,4.56164362912713e-21,0.999999999960217,1
"P27005",4,3,3,3,2,4,24.3085726327481,23.8923901596302,22.9939477509734,24.0288631664461,23.4228583970294,24.1856833349872,1.31100469765492e-17,0.999999997377263,1
"O35955",7,5,4,4,5,3,20.9490871550455,20.4161011049889,19.7412202610828,20.1572427015302,19.7746097959387,20.7552382913814,-9.28545107639014e-19,0.999999997845351,1
"Q9EQ06",2,1,1,1,1,NA,19.1399834252051,19.101894664377,17.9993615236329,18.707593747574,18.1700999135826,19.1589370843632,3.57707604933357e-20,0.999999999814332,1
