"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"P08228",6,6,6,5,6,5,23.2650353497499,22.5121449810837,21.5836937435087,21.6461015230284,21.5199955258977,22.2444988997525,-0.529341232964519,0.00284474796754339,0.0310363009784512
"Q91V92",6,2,2,4,5,7,19.2422480685812,19.0056766016489,18.0938280373234,18.949009264956,18.6548623388368,19.6659081705752,0.3550031115792,0.000670962471417217,0.0107580162551952
"Q9CQR2",2,3,3,3,3,2,20.9668305111256,20.2776229337683,19.2451882932406,19.7996040309777,19.567112561906,20.5721403031393,-7.6591590373087e-20,0.999999999567044,1
"Q62318",10,7,10,8,8,10,19.9767203147752,19.5881214439835,19.0281742330181,19.4457102802119,19.1866296199205,19.91893062898,6.16954466021762e-21,0.999999999945253,1
"P63101",12,10,9,11,9,10,23.7868620421708,23.1663295464819,22.231322156031,22.7115884632061,22.1767043787766,23.2195295983876,-0.205907935390905,0.022550655479585,0.128206316212621
"Q3UEB3",3,3,1,5,5,6,20.081661226627,19.5441583428096,18.9805416458032,19.6471129077755,19.2806627764853,19.8727467457531,6.67892329397988e-11,0.999980615321033,1
"Q91ZW3",4,NA,2,6,3,8,19.9291445682254,19.5274888247937,18.7205625069133,19.2668106464421,19.1380090077771,19.8611798952618,3.30060893484426e-20,0.999999999599805,1
NA,NA,NA,NA,NA,NA,NA,21.7256462118032,21.2354215349237,20.2338649075026,20.9329525525506,20.5359008215654,21.4860367559671,5.16056938547983e-22,0.999999999995567,1
"Q3T9E4,Q62293",4,NA,2,2,3,2,19.6948153346252,19.3003189853941,18.0143493254703,19.6182037697721,19.1527711900934,19.5457764547225,0.369030700343969,0.104150687384337,0.349422391280549
"Q8BH59",11,5,6,6,2,6,19.8038107636522,19.4587436066796,18.8121665560561,19.2269659967415,18.7930882710807,19.7176259002935,-7.29246201804421e-21,0.999999999932144,1
"O08553",8,10,5,6,6,6,20.2415917157049,19.8868486333039,18.9393987824449,19.5178160416762,19.0189241922447,19.9088497840447,-0.101612790842908,0.18676394811637,0.526703861585098
"Q6PDG5",3,4,3,1,3,4,20.0744270785801,20.2030382171417,19.1041487816434,19.5762871286293,19.095693631119,20.051198595647,-7.62515208199657e-16,0.999999955644724,1
"P47962",10,7,4,6,4,7,20.4946601843686,19.9914469389569,19.0596666336509,19.665222431006,19.1303288473704,20.2922581273208,-0.0613542714121515,0.376547412940186,0.856990683039307
"Q9CWX9",2,2,NA,NA,1,2,17.7964484609753,18.5082291455986,17.9974113393448,17.5862877548493,18.0574601683592,18.5588744936192,-8.01671186626869e-21,0.999999999982453,1
NA,NA,NA,NA,NA,NA,NA,20.5587547935376,19.4948579700479,18.3726649632291,19.4509318085589,18.9444259197757,20.4238200669797,7.17280891571743e-20,0.999999999701193,1
"Q9DCN2",3,3,4,4,4,5,19.6924406837513,19.159763178942,18.526517942604,19.2017676345884,18.5975404803355,19.7510665211107,0.0955125908818729,0.191006477802479,0.533397737424928
"P62754",6,7,7,6,5,7,21.1121580939918,20.5966748881687,19.6019391105867,20.229484714627,20.02208880137,20.940034632782,4.49114418631322e-20,0.999999999662652,1
"Q810A7",NA,NA,NA,NA,NA,2,19.1618325492331,18.5085149664764,16.2956000249682,18.3623432133293,17.726194780873,19.1141874774813,1.18220534868874e-19,0.999999999640095,1
"Q3TYS2",4,4,3,1,3,3,19.5315603633475,19.4033461807128,18.051048824142,18.5716454041705,17.9618590191986,19.0055542054596,-0.168170531088515,0.280947195562776,0.70832446655138
"P62855",5,4,4,4,6,4,22.8797835797905,22.5118854001571,21.3024625238931,21.8505882551466,21.8220268843755,22.6902579024856,4.32272426690436e-20,0.999999999705101,1
