"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"sp|Q16795|NDUA9_HUMAN",8,2,7,2,8,6,1,0,9,1,4,2,3,2,5,7,3,2,4,4,3,3,4,3,4,0,2,3,0,3,6,7,7,7,6,3,6,1,0.416718646942658,0.578248813910545,23.0618273105857,19.1052219995704,21.283104392994,22.7768769983348,22.6356101311823,21.7666924096332,20.8423416427671,21.9183036967258,18.495538604249,18.5609855399855,23.1884427828095,19.124928990058,23.020822894295,22.7856713106088,19.0520438082366,NA,23.4757066424157,18.2544929780148,20.5359119024301,20.7536848917553,19.8778296974164,21.382984041635,22.5060847181809,21.1268165022703,20.1217889036637,22.0871655299105,21.2289616140393,21.0423306604343,21.1977249252527,20.3397312814086,21.5549359740883,NA,19.3707745274434,20.7516112706262,NA,21.5466396043673,22.6931294099229,22.673183653762
"sp|Q16799|RTN1_HUMAN",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2512316498364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1411942054038,NA
"sp|Q16822|PCKGM_HUMAN",15,25,21,21,13,20,25,22,20,21,10,21,25,23,23,22,25,11,21,25,21,21,21,21,16,25,19,26,25,25,7,22,22,16,24,26,19,26,4.6992493440806e-06,0.000139264212332389,25.4129603918615,28.3465977726704,28.1154694179691,29.0535429323529,24.8592918883245,29.0792229869609,27.461727455061,28.056783638299,28.165529851557,28.7092953548949,26.5731217209563,28.4774881459382,24.6962264908563,28.6861282870411,28.2873242537436,28.5317620902131,27.2306945846079,28.2809467604568,23.3685045560773,28.2695240937708,26.7762031472211,28.4088804969081,28.3795823129685,29.2393672418906,23.7491838467393,28.7534992084039,28.4290909181032,28.4261476841715,27.796837532723,28.8065876182668,26.9387270523789,28.8564966861208,26.1186318853895,29.1665782682629,28.0094469985583,28.6529326440935,22.9235304888768,28.7204667263391
"sp|Q16831|UPP1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3949461880394,NA
"sp|Q16836|HCDH_HUMAN",9,10,9,10,10,9,10,10,9,10,7,10,9,9,10,9,12,9,10,9,10,9,10,10,8,12,8,9,12,11,5,9,10,8,9,9,8,10,0.000176401011043231,0.0020484117404816,24.9751041960403,28.4674586792972,27.6220085925985,27.6060924876464,24.060325270584,26.8681724108893,27.1254735344584,25.6975032340003,26.6982662909517,27.4948459337509,26.1432821193222,28.2938224651745,27.6945575534943,27.1957986831606,26.4706041458661,27.9953256984658,26.6711490452741,28.7701857267316,23.9892745262651,27.5310142815017,26.7371919229423,27.667624047975,26.9336596420386,28.6276673347165,27.4137412931824,28.0479707874361,27.6062947623128,27.3653188291297,25.6298275053922,27.2247112791099,27.3534270219304,28.1932159566694,25.8866673313227,27.6610720250599,27.1725249204993,27.8608755250389,23.6500939164536,27.5025370235836
"sp|Q16850|CP51A_HUMAN",2,0,0,0,0,4,5,0,5,0,2,1,0,1,2,3,0,0,0,1,4,7,0,3,2,0,3,0,3,0,3,1,0,3,4,2,3,2,0.654238327729905,0.770839744052731,19.8273620569487,18.4683314867026,NA,NA,21.7835255840299,21.7671520653247,20.1355276124783,21.0877769608012,20.7869119587732,NA,NA,NA,NA,20.7892092226798,21.6607337887853,NA,23.0798880038094,NA,20.4587381853048,NA,19.8725530777248,20.8243242735468,19.3125925851803,NA,NA,NA,NA,22.8856423070175,23.7455144827853,20.7974880862297,18.8406437250913,NA,20.7136885452853,NA,20.7919248431292,NA,20.6726868901019,17.8204968157494
"sp|Q16851|UGPA_HUMAN",20,26,13,27,18,23,26,29,21,28,20,27,28,12,30,21,32,19,25,27,24,21,23,25,16,34,23,31,28,31,15,26,26,22,28,23,29,18,1.95998126706601e-10,1.8587155682676e-07,25.6753716829341,29.4097070057211,27.4192259203299,29.135122323034,26.7714710138075,28.9982886899961,26.7357579068679,29.3850880286776,26.2853913959578,28.7677387508198,25.1642290577671,29.7271724819184,26.4671001561732,28.7661383527055,29.125298719276,29.6068737254673,27.084241904629,29.7207125164234,25.8675601597238,28.8083042323612,24.1463401368798,29.2504768168929,26.4999725099053,29.2338350990063,25.8613753306026,28.7766650768805,28.3197423296908,28.3513887988674,26.7659499259586,29.067116154358,25.9330405138488,30.0240895505673,27.4646262514482,29.3549071386575,28.8008904683138,29.0648367304738,25.2194486465911,28.9081695939793
"sp|Q16853|AOC3_HUMAN",1,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,0,1,0,0,3,1,0,0,0,0,1,2,1,0,1,0,0.77477352852732,0.863726758879399,18.4081424400939,NA,NA,19.373178915515,19.8519374720346,19.9128332298172,NA,19.0399543187401,NA,NA,16.2262450657381,NA,NA,19.8405998149449,NA,NA,NA,NA,NA,NA,NA,19.966631127151,NA,18.2537911000731,NA,17.6844635012169,NA,18.439300249029,17.3123197063854,18.4641385379136,NA,NA,21.6531828934532,17.971822753723,NA,NA,NA,NA
"sp|Q16881|TRXR1_HUMAN",7,1,4,1,11,2,2,1,9,1,2,1,2,8,1,4,2,5,4,10,4,9,4,3,15,0,5,3,3,2,4,7,1,3,0,6,1,1,2.37953023407198e-05,0.000476062800982403,21.9056376773352,18.2241375156012,21.4369541279189,18.2409485210151,21.2381417910429,NA,23.203671833375,17.4552432097149,19.8165910412077,18.5988062303116,22.7163812542782,18.4965908315918,25.4734254426578,19.9823618520592,21.4327875202315,18.7996825887534,24.5117210917008,19.4569163373308,20.9814296367701,21.4993216341863,23.5485477609489,20.4654161828912,21.0871460014602,20.1703685758899,23.0885418303757,21.9080583550602,25.323795499396,22.6710180076899,23.0115638808805,21.1861227405414,27.0344926067825,NA,22.7894252717974,20.9547427306435,20.1835309566172,19.4834544429494,21.84396237502,22.1173902929852
"sp|Q16891|MIC60_HUMAN",17,9,17,11,13,7,14,10,12,10,9,13,12,9,11,16,8,13,11,11,11,12,11,11,16,6,10,11,13,13,12,15,8,8,6,10,8,8,0.0219962830315081,0.0744627331872015,25.3944322221757,24.5693562949173,24.0884956408942,23.8406268507678,23.4097020021752,23.7766081034145,24.3802378299169,23.9128560121174,23.9377244577165,23.9831705604994,25.3732993671953,24.1474580515281,25.3042707326664,23.3585597212751,25.2266057820699,24.3958694392876,24.5060206343473,23.9598145803767,23.9051285200652,24.1572941295782,23.3498016126713,24.4355419165987,25.3815916378628,23.6386873139085,24.7529630107625,23.8607086358405,23.9248255440533,24.5109876729796,24.335502095146,23.9150173628537,25.5900070770975,23.642228691203,24.4669229033763,24.5244079100618,24.9626557631964,24.6707356483266,25.391346198546,24.9303267431567
"sp|Q17RC7|EX3L4_HUMAN",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0.674176097686168,0.784477837819516,NA,NA,NA,19.7734712139932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.836719723227,NA,18.6134969416551,NA,NA,NA,NA,NA,19.5164705817005,19.8787036923204,NA,NA,NA,NA,NA,NA,NA,NA,19.5859908752551,NA,20.5644732850252
"sp|Q1KMD3|HNRL2_HUMAN",6,2,2,2,5,1,4,2,3,1,5,2,4,4,3,6,2,6,2,6,5,6,5,1,2,2,5,2,2,0,5,5,3,8,0,6,3,2,3.8853732517069e-05,0.000657969458399174,23.0574094352618,20.4962826909233,22.540781716998,20.600735399366,23.3719449637792,NA,23.4768895980735,20.6233795843228,21.3681164315973,19.4399152348523,20.2215541741872,20.4304562681854,22.8540204688017,20.6251450071687,22.1722493235064,20.6803994125691,21.833300403235,19.088496949693,23.3608080038413,21.9514620928753,22.5050844711482,21.945666671833,22.81521006232,19.63112718078,22.5092658493363,21.721446224685,22.5533034055262,22.4451576205207,22.6911572151253,20.556623362389,21.8211876049847,21.2903887064635,23.1474919602901,21.1808698348478,19.7168472335471,NA,23.0104250688301,21.7563313382135
"sp|Q27J81|INF2_HUMAN",5,0,1,0,0,1,5,1,0,0,0,2,1,0,3,1,2,0,0,3,3,5,2,1,1,2,6,4,1,0,9,1,3,4,1,1,2,0,0.29812744685036,0.464752102076315,21.1067874516767,19.0670971928776,19.9403277410563,20.5819510120367,21.5614435865873,19.2443203322952,18.5769455386632,20.6853684313545,NA,NA,18.3694873847831,NA,NA,18.7172084800973,21.5435222784457,18.4647647854665,NA,NA,NA,20.3621139214667,NA,20.8014620722064,18.5277628944681,19.8123572536404,NA,NA,19.3412231433172,19.8066480522115,22.0005400566935,19.385839553506,17.0661795862687,18.8871944357357,22.2835389934766,20.6545001776478,19.3966165519487,NA,23.5638387780232,19.1903885753293
"sp|Q29RF7|PDS5A_HUMAN",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0.233946068470931,0.395235489786103,17.7492102952522,NA,NA,NA,20.8361593107452,NA,NA,16.9955890069023,17.1540044644079,NA,NA,NA,NA,17.0326684527903,17.4485992728143,NA,18.1106735553246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q2M2I8|AAK1_HUMAN",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.425848187646911,0.585401903371936,19.0464048590162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2339742542435,NA,NA,NA,NA,NA,18.502026492866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3275066482063,21.924149665645
"sp|Q2M389|WASC4_HUMAN",2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0.642673991887975,0.76278994865302,18.0904371645652,NA,NA,NA,20.6794441665205,NA,NA,NA,NA,NA,NA,NA,20.6215101264908,NA,NA,NA,NA,NA,18.0582452338209,NA,NA,NA,NA,NA,NA,NA,NA,19.9272214107689,19.9527200259307,NA,18.8696405922218,NA,NA,NA,NA,NA,19.4709887671176,NA
"sp|Q2TAA2|IAH1_HUMAN",2,0,1,1,1,1,1,1,1,2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,3,1,1,2,1,1,1,1,0.0802055208444797,0.190303127363011,19.3773810308853,18.4974523376279,18.5187974940422,19.1637171270652,20.3744434551679,18.3017598399649,19.8216602341307,18.6805832204585,19.2859934157657,NA,18.2903155003566,18.7704841258362,19.3487095089437,17.1053365764211,19.0701460570843,19.2080492321857,18.5437832752516,19.768983115647,NA,18.3068758831987,NA,19.0696083684697,NA,NA,NA,18.6395187710365,NA,NA,NA,NA,NA,19.5468535463679,NA,18.8537469932525,18.9338644910419,NA,20.8223351440907,18.602081405752
"sp|Q2TAY7|SMU1_HUMAN",2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,NA,NA,20.5611248934576,NA,NA,NA,19.7742858259953,NA,NA,NA,NA,NA,NA,NA,19.6644215257604,NA,NA,NA,NA,NA,20.2569075284593,NA,19.7015790577246,NA,19.7510448306529,NA,18.6760931582998,NA,NA,NA,19.338387421107,NA,20.0863564817942,NA,NA,NA,NA,NA,20.4636937778351,NA
"sp|Q2TB90|HKDC1_HUMAN",17,0,16,0,10,0,16,0,12,0,2,0,3,0,4,2,0,3,1,6,7,6,0,0,6,1,3,4,0,0,1,0,0,16,0,0,10,0,0.243409260036789,0.406396329110718,24.7435030700679,NA,NA,NA,24.0209629897657,NA,NA,22.9703962494274,NA,NA,24.4079887880403,NA,23.0072463579472,NA,24.966475212789,NA,22.9037527942483,NA,19.6283682955823,20.4000043032105,NA,20.6890474382826,18.9396827656712,NA,19.7163684229685,21.3688677194459,22.1595210057551,21.3410154312406,21.7526878671116,NA,21.5633087557067,NA,20.5776916376521,20.4629029353943,NA,NA,NA,NA
"sp|Q32P28|P3H1_HUMAN",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9545234889921,NA,NA,NA,NA,NA,17.0114051251316,NA,16.8465650939159,NA,NA,NA,NA,NA,18.52111213562,NA
"sp|Q3KQV9|UAP1L_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4481838669165,NA
"sp|Q3LXA3|TKFC_HUMAN",11,18,10,17,7,14,16,16,14,19,9,17,17,14,18,5,22,8,16,14,16,6,13,18,13,21,17,17,19,18,1,16,16,4,18,13,14,25,3.89501289821868e-07,2.57704923149585e-05,23.5409387380238,28.1700808494812,24.4371147980368,27.8773689125183,21.9768431626759,27.3270700417113,24.7482782626376,26.8128261243119,28.268249314632,27.840970666908,23.4414485493622,27.7860108264648,22.1368538822088,26.9543318553938,26.8427928977747,27.2818829994543,24.9730724645015,28.3092290415947,22.593146097714,26.3664962132834,25.6437853368129,27.0951696695478,22.0486234489383,28.3243956614144,22.8690352706852,27.2570757250654,26.3284624986218,27.0768763425682,22.3777236487081,28.1803383719557,25.3576164363497,28.3709161272609,26.5177746022161,26.619655395399,27.315307158141,27.4403383251182,18.6875383660519,26.8084388323163
"sp|Q3SXM5|HSDL1_HUMAN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5554455532526,NA
"sp|Q3YBM2|T176B_HUMAN",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0.296529621678918,0.463276646719672,NA,NA,NA,NA,20.6524995041587,NA,NA,18.024648928274,NA,NA,NA,NA,17.4093415421079,NA,NA,NA,18.9877231432755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0216405751548,NA,NA,NA,NA,NA,19.4678033783961,NA,NA,NA
"sp|Q3ZCM7|TBB8_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55631219066309,0.695390238328863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9650770199224,NA,NA,20.0856634039883,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q3ZCQ8|TIM50_HUMAN",3,1,2,2,2,2,2,2,2,0,2,2,0,1,0,2,0,1,0,0,1,2,2,1,3,0,0,0,2,2,2,1,2,2,1,2,1,0,0.00184221606543317,0.0116949975908806,22.5278487385834,21.0085137216653,21.7749951227194,20.8991236527221,20.6123970587152,19.8901026024032,20.96569496728,19.4735705626259,NA,19.6683114169145,21.3417942526373,20.846567293488,21.8878906698185,20.9264050525729,21.3780470652982,20.4767526649889,21.1288999265276,NA,21.2605887810926,NA,19.7647359185707,NA,21.8509572519068,NA,20.4548043152123,NA,NA,20.3002425155506,21.3219092626523,19.7546985797213,23.1330957443301,NA,NA,NA,20.2835427950311,20.6139490667492,21.6939820305974,20.0819808959685
"sp|Q460N5|PAR14_HUMAN",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.292269010893471,0.4583822138875,NA,NA,NA,NA,17.2190111527736,NA,NA,17.631169964968,NA,NA,NA,NA,20.5478636295871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.000551013136,NA,NA,NA,19.0317485858517,NA,NA,NA,18.9719728034666,NA
"sp|Q496Y0|LONF3_HUMAN",1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.243590014775737,0.406459584772418,20.2851387309621,21.6626680566896,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1212215918845,NA,NA,20.433241697802,NA,NA,21.1359745079524,NA,NA,NA,20.6856563349078,NA,21.0447897653305,19.9910620309899,NA,NA,20.3457789066654,NA,20.3151131442684,20.7215289552549,NA,NA,19.8568174962317,20.3381126764642,NA,NA,21.0044715287476
"sp|Q4G0F5|VP26B_HUMAN",0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,2,1,1,1,1,0,0,1,0,2,2,1,0,1,0.239316962114509,0.401922524920766,NA,NA,NA,NA,20.9395899462948,18.5256640102678,19.1718909271526,NA,19.9606696318921,NA,NA,18.9464914416335,17.8637559360395,18.4195174683117,NA,NA,18.9855456440385,NA,NA,NA,NA,NA,NA,NA,19.4450631974142,NA,19.2987703533339,19.0144265705182,19.3088553418282,NA,19.8515110400214,19.3399563943517,19.5054548332214,19.4011883368374,19.5776081628006,NA,NA,19.47285460245
"sp|Q4G0N4|NAKD2_HUMAN",17,17,9,13,14,16,17,14,11,17,1,16,18,8,17,10,14,10,14,14,14,13,18,14,14,16,9,18,12,17,1,18,15,16,16,14,16,21,0.00161109376055365,0.0105612021861178,25.7921935919323,27.3031280280511,28.5231070641568,26.6605331614517,25.5367243859716,26.9124963867733,25.4828839829136,26.3486488795077,26.5733655311907,26.581318197044,24.856486048641,26.0295899278408,25.9356668556947,26.9188050375337,26.1489569053793,26.6684991303072,25.064759079366,26.5321065177003,18.1846416711299,26.3592132808461,23.7012070477677,26.8327586907021,25.8790741842239,26.3994684147083,24.7795141354442,26.4618364535965,26.0526204033501,26.6782624956508,25.2362921231522,26.7954567282526,26.6148415643152,26.7032608380936,24.0023927736715,26.9018344994056,24.9251324679835,26.5216995760174,19.1938647298547,27.4145485368841
"sp|Q4G176|ACSF3_HUMAN",2,1,1,2,2,1,2,1,2,1,0,2,3,0,2,0,3,1,2,2,2,1,4,2,3,1,1,3,1,1,0,2,2,0,2,0,1,1,0.403718109974415,0.566080839269201,19.9336142415812,19.7668311504144,21.4602412266496,20.6035279781708,NA,20.7509099377966,NA,20.4544679445824,20.7480618515366,NA,20.8022554110049,19.9124329704379,21.2445477655301,20.3117234918818,21.2979559121079,20.1740580235733,19.9092870946722,20.0344102191687,NA,20.9221164032872,NA,20.6492792848483,NA,20.7905713190674,19.4117715933089,20.9225443463852,20.7540498285254,20.3669060307544,19.7584528380464,20.4143645202846,21.1384560558563,20.7084921774469,19.9858243874519,21.0518502336795,16.2681351334813,20.0670298701661,NA,21.0260505155983
"sp|Q4KMQ2|ANO6_HUMAN",0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0.82506177773385,0.892849280202664,NA,NA,NA,NA,19.344967094535,NA,18.6564776325002,NA,NA,NA,NA,NA,20.5120178669255,NA,NA,NA,20.1311948208787,NA,20.4397223155512,NA,20.681253567884,NA,NA,NA,19.9337461532019,NA,NA,20.4803687596068,20.3301457122482,NA,22.3625866549563,NA,20.2252265640773,NA,NA,NA,20.2574186940793,NA
"sp|Q4V328|GRAP1_HUMAN",1,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0.130728711435195,0.266420618934907,20.1989533631035,NA,NA,NA,NA,NA,19.4695695219399,19.5400617818948,NA,NA,20.2148337336441,NA,NA,NA,NA,NA,19.5730369114397,NA,21.3600255496395,19.6778578093092,20.2546668935693,NA,NA,NA,NA,NA,19.7455149830197,NA,NA,NA,NA,NA,NA,NA,20.8057642315868,NA,21.2461023427625,19.316168053281
"sp|Q4VC31|MIX23_HUMAN",0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0.125108649162101,0.259049568315995,NA,22.429523380474,NA,NA,NA,22.2847815047894,16.4746811181864,22.0663884366286,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8942748123538,18.8294613301124,NA,20.394485259497,NA,22.0760443165372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q52LJ0|FA98B_HUMAN",1,0,0,0,1,0,1,2,0,0,2,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,1,1,1,0,1,0,0.166362059438911,0.312822246598613,20.9427735229091,18.6506561361049,18.9606116793371,18.0119366202196,19.7713666559615,18.7159631284191,NA,18.3755336320654,NA,NA,NA,NA,18.1562966683319,NA,18.7702577638685,19.1219479852144,NA,NA,20.251984534139,NA,19.0670442993319,NA,17.9196278111402,NA,NA,NA,NA,19.130463292418,NA,NA,20.630672450265,NA,18.4362882578481,NA,NA,NA,19.5662993613438,NA
"sp|Q53EL6|PDCD4_HUMAN",5,0,1,0,1,1,4,1,3,0,2,1,1,0,0,4,0,0,1,0,2,2,2,0,1,0,0,0,0,0,0,0,1,7,2,3,2,0,0.288236215572446,0.454059819104989,22.3244291890468,20.3852000846486,20.7913865371051,18.7087612420561,23.5514101803685,19.5223381436153,21.3354359754525,20.9207899409409,NA,NA,17.3449344759419,NA,18.2537206450137,20.3524424673358,21.3702410229143,19.9657292072271,21.6700703007123,NA,22.2972396224945,20.2744782230113,NA,NA,22.2683001865589,NA,NA,20.4987676025996,NA,20.9346911648708,21.1444785926293,NA,18.0835842427868,NA,NA,NA,NA,NA,NA,NA
"sp|Q53FA7|QORX_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,3,0,0,1,0,8,0,0,NA,NA,NA,NA,NA,NA,18.8882560777612,NA,25.2752856250738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3945012662321,NA,NA,NA,NA,NA,19.9264396620055,NA,NA,NA,18.2206469620599,NA,17.5994771543696,NA,19.4776097997622,NA,21.2256951856941,NA
"sp|Q53FZ2|ACSM3_HUMAN",0,8,2,5,0,8,0,5,0,4,0,6,0,0,2,1,4,0,8,1,7,0,5,5,4,8,0,5,1,3,0,8,6,0,6,0,2,0,9.33179308846372e-05,0.00127028475295116,NA,22.8368122843602,22.0802026537357,23.0165229083682,NA,23.1341688577975,NA,20.6604646444793,NA,23.5991059080316,20.8225446476203,22.1055442578478,NA,23.8578247469134,NA,22.5198595239098,NA,22.4989201302517,NA,NA,NA,20.5610510899831,18.9615744155266,22.1581583980714,NA,23.6868441249211,18.7451258332207,23.3593694428297,NA,22.2065585621719,22.0588295237922,24.6206162240356,NA,23.3076207422774,18.8325220411664,22.2242967631667,NA,22.9607304359195
"sp|Q53GG5|PDLI3_HUMAN",4,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,1,1,0,0,2,0,1,1,0,1,0,0.323322078213714,0.489282613041498,20.8032904169439,18.8647412099694,NA,NA,20.2010446062442,19.0146081705601,NA,17.6201320353162,NA,NA,19.7966752475585,NA,NA,NA,17.9267548578304,19.8131135162376,NA,NA,NA,NA,NA,21.1003652394828,NA,NA,NA,NA,NA,NA,19.6589208668511,NA,NA,NA,23.3072043574886,17.5608922020301,17.7180568450285,NA,NA,19.8836699885577
"sp|Q53GL7|PAR10_HUMAN",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.257572208891025,0.421188488210165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7369414823995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0529478297386,NA,17.5225984821149,16.9739342076814,17.7406423667907,NA,19.8830439809947,NA,16.6489207909764,NA,NA,NA,NA,NA
